Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,1993.0,-0.4,+8
2,Gonzaga,1982.0,-1.2,+0
3,Houston,1951.0,-1.3,+3
4,Arizona,1918.0,-1.4,+0
5,UNC,1882.0,-0.0,+1
6,Iowa,1882.0,-0.2,+0
7,Villanova,1877.0,-0.0,-13
8,Duke,1877.0,-0.2,-1
9,Texas Tech,1871.0,-0.2,+5
10,Illinois,1866.0,-0.1,+35
11,Baylor,1864.0,-0.2,-37
12,Purdue,1859.0,-0.2,+5
13,Saint Mary's,1854.0,-0.1,+25
14,Arkansas,1851.0,-0.3,+0
15,UCLA,1843.0,-0.4,-27
16,Tennessee,1833.0,-0.1,-53
17,Auburn,1830.0,-0.4,+11
18,Miami (FL),1820.0,-0.0,+31
19,Kentucky,1819.0,-0.1,-21
20,Memphis,1817.0,-0.2,-22
21,San Diego State,1811.0,-0.1,+12
22,UConn,1809.0,-0.3,+19
23,Colorado,1800.0,-0.0,+89
24,Wisconsin,1799.0,-0.2,+1
25,Virginia Tech,1795.0,-0.3,+7
26,Creighton,1787.0,-0.0,+7
27,Texas,1786.0,-0.2,+0
28,Michigan State,1780.0,-0.7,+35
29,Providence,1763.0,-0.0,-29
30,Virginia,1762.0,-0.0,+40
31,Boise State,1761.0,-0.1,-4
32,Michigan,1758.0,-0.1,-50
33,Oklahoma,1755.0,-0.2,+16
34,Notre Dame,1751.0,-0.3,+3
35,Alabama,1742.0,-0.2,+24
36,Colorado State,1738.0,-0.0,+14
37,Ohio State,1737.0,-0.1,+0
38,Indiana,1735.0,-0.0,+14
39,Dayton,1734.0,-0.0,-23
40,St. John's (NY),1734.0,-0.1,+13
41,Seton Hall,1732.0,-0.1,+0
42,San Francisco,1730.0,-0.1,+0
43,Oklahoma State,1727.0,-0.0,-13
44,LSU,1726.0,-0.2,+4
45,Mississippi State,1722.0,-0.2,+11
46,Maryland,1718.0,-0.1,+39
47,Wake Forest,1716.0,-0.1,+8
48,North Texas,1714.0,-0.2,-9
49,Davidson,1710.0,-0.0,-48
50,Texas A&M,1709.0,,-99
