Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2108.0,-3.0,+40
2,Texas,2032.0,-0.4,+0
3,Alabama,2022.0,-0.3,+0
4,UCLA,2015.0,-0.5,+0
5,Houston,2002.0,-0.3,+0
6,Marquette,1995.0,-0.5,+0
7,Gonzaga,1983.0,-0.2,+0
8,Miami (FL),1979.0,-0.2,-21
9,Kansas,1975.0,-0.8,+0
10,San Diego State,1954.0,-0.3,-12
11,Duke,1946.0,-0.1,+0
12,Memphis,1943.0,-0.8,+0
13,Kansas State,1924.0,-0.2,+0
14,Xavier,1919.0,-0.0,+0
15,Creighton,1918.0,-0.3,+0
16,Florida Atlantic,1910.0,-0.0,-8
17,Purdue,1910.0,-0.3,+0
18,Michigan State,1902.0,-0.1,+0
19,Texas A&M,1899.0,-0.1,+0
20,Tennessee,1896.0,-0.1,+0
21,Arizona,1894.0,-0.4,+0
22,Penn State,1885.0,-0.2,+0
23,Baylor,1879.0,-0.1,+0
24,Kentucky,1876.0,-0.3,+0
25,Virginia,1869.0,-0.1,+0
26,UNC,1866.0,-0.1,+0
27,Iowa,1864.0,-0.0,+0
28,Indiana,1863.0,-0.0,+0
29,West Virginia,1863.0,-0.0,+0
30,Michigan,1863.0,-0.0,+0
31,Saint Mary's,1862.0,-0.0,+0
32,North Texas,1861.0,-0.1,+31
33,TCU,1858.0,-0.5,+0
34,Auburn,1846.0,-0.1,+0
35,Northwestern,1844.0,-0.1,+0
36,Seton Hall,1842.0,-0.1,+0
37,Arkansas,1839.0,-0.0,+0
38,Maryland,1838.0,-0.3,+0
39,Utah State,1830.0,-0.0,+0
40,Drake,1829.0,-0.1,+0
41,USC,1826.0,-0.0,+0
42,Wisconsin,1826.0,-0.2,-12
43,VCU,1820.0,-0.0,+0
44,Oklahoma,1819.0,-0.0,+0
45,UAB,1818.0,-0.4,-10
46,Illinois,1809.0,-0.0,+0
47,Texas Tech,1809.0,-0.1,+0
48,Villanova,1807.0,-0.1,+0
49,Mississippi State,1804.0,-0.1,+0
50,Oklahoma State,1801.0,,+0
