Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2015.0,-0.4,+14
2,Purdue,2004.0,-0.6,+44
3,Houston,1990.0,-1.5,+25
4,UNC,1952.0,-0.2,+12
5,Auburn,1947.0,-0.4,+15
6,Tennessee,1938.0,-0.3,+39
7,Kansas,1931.0,-0.9,-24
8,Wisconsin,1909.0,-0.1,-18
9,Alabama,1906.0,-0.6,-22
10,Marquette,1892.0,-0.3,+23
11,Texas Tech,1884.0,-0.0,-8
12,Arizona,1884.0,-0.1,+11
13,Illinois,1881.0,-0.0,+33
14,Duke,1881.0,-0.4,-36
15,Oklahoma,1872.0,-0.5,+23
16,Kansas State,1860.0,-0.0,+15
17,Memphis,1859.0,-0.0,-51
18,Creighton,1859.0,-0.3,+9
19,Michigan State,1852.0,-0.1,+20
20,Kentucky,1850.0,-0.1,+30
21,Iowa State,1848.0,-0.2,-13
22,Baylor,1844.0,-0.0,-20
23,San Diego State,1844.0,-0.0,+4
24,Texas,1843.0,-0.1,-27
25,Utah State,1840.0,-0.1,-24
26,Seton Hall,1838.0,-0.3,+2
27,Gonzaga,1830.0,-0.0,+22
28,TCU,1829.0,-0.2,-25
29,Dayton,1825.0,-0.0,+8
30,BYU,1824.0,-0.0,+14
31,Xavier,1824.0,-0.2,+16
32,Mississippi State,1820.0,-0.1,-17
33,Saint Mary's,1818.0,-0.2,+38
34,Nebraska,1814.0,-0.2,-6
35,Ohio State,1809.0,-0.2,-18
36,Cincinnati,1805.0,-0.0,-5
37,Florida Atlantic,1804.0,-0.1,+8
38,New Mexico,1802.0,-0.2,+39
39,Northwestern,1797.0,-0.0,-3
40,St. John's (NY),1797.0,-0.0,-29
41,Iowa,1796.0,-0.4,+0
42,Maryland,1787.0,-0.1,-23
43,Wake Forest,1784.0,-0.2,-7
44,Utah,1780.0,-0.1,+21
45,Colorado,1778.0,-0.2,+39
46,Syracuse,1773.0,-0.1,+39
47,Villanova,1771.0,-0.0,-18
48,Boise State,1771.0,-0.1,-20
49,Florida,1769.0,-0.1,+11
50,Colorado State,1767.0,,+9
