Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2060.0,-3.2,+5
2,Baylor,1978.0,-1.7,+22
3,Arizona,1934.0,-0.1,+30
4,Kentucky,1932.0,-0.5,+14
5,Kansas,1920.0,-0.3,-9
6,Auburn,1913.0,-0.1,-10
7,Houston,1910.0,-0.1,-55
8,Purdue,1908.0,-0.2,-32
9,Duke,1903.0,-0.1,+1
10,Villanova,1900.0,-0.4,+15
11,Illinois,1889.0,-1.1,-17
12,Ohio State,1860.0,-0.1,+27
13,UCLA,1858.0,-0.1,+2
14,Tennessee,1855.0,-0.0,+20
15,Texas Tech,1854.0,-0.2,-25
16,USC,1848.0,-0.2,+10
17,Texas,1843.0,-0.3,+0
18,Arkansas,1836.0,-0.4,+7
19,Iowa,1827.0,-0.2,+36
20,Wisconsin,1822.0,-0.1,-13
21,Alabama,1820.0,-0.6,+24
22,Michigan State,1804.0,-0.0,-9
23,Michigan,1804.0,-0.0,+26
24,Providence,1803.0,-0.2,+10
25,Memphis,1798.0,-0.0,+57
26,UConn,1797.0,-0.6,-0
27,Marquette,1782.0,-0.0,-40
28,Loyola (IL),1781.0,-0.3,-8
29,Saint Mary's,1773.0,-0.0,-19
30,Boise State,1772.0,-0.1,+5
31,Rutgers,1769.0,-0.1,+48
32,San Diego State,1766.0,-0.0,+6
33,LSU,1765.0,-0.1,+21
34,Xavier,1763.0,-0.0,+6
35,Notre Dame,1762.0,-0.0,+30
36,Oklahoma,1761.0,-0.1,+31
37,UNC,1758.0,-0.1,+24
38,North Texas,1755.0,-0.0,+23
39,Virginia,1755.0,-0.0,+27
40,Oklahoma State,1754.0,-0.1,+13
41,SMU,1751.0,-0.2,+29
42,Toledo,1746.0,-0.0,+28
43,Dayton,1745.0,-0.2,+9
44,Colorado State,1739.0,-0.0,+24
45,Wake Forest,1738.0,-0.0,+2
46,Davidson,1738.0,-0.1,-28
47,San Francisco,1735.0,-0.0,+6
48,Ohio,1734.0,-0.1,-11
49,BYU,1731.0,-0.0,+8
50,Miami (FL),1731.0,,+30
