Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Purdue,2049.0,-2.2,+9
2,Houston,1994.0,-0.2,+14
3,Kansas,1990.0,-0.6,+37
4,UCLA,1976.0,-0.3,+19
5,Alabama,1968.0,-0.4,+33
6,Baylor,1958.0,-0.2,+24
7,Marquette,1953.0,-0.2,-29
8,Creighton,1949.0,-0.2,+36
9,Texas,1943.0,-0.4,+13
10,Gonzaga,1933.0,-0.4,+6
11,Virginia,1922.0,-0.4,+24
12,Indiana,1911.0,-0.1,+20
13,Tennessee,1908.0,-0.1,-39
14,Texas A&M,1906.0,-0.2,+20
15,Miami (FL),1902.0,-0.0,+28
16,Oklahoma State,1901.0,-0.2,+34
17,UConn,1895.0,-0.5,+24
18,Illinois,1883.0,-0.0,+13
19,Iowa,1882.0,-0.1,-9
20,Arizona,1879.0,-0.0,-41
21,Saint Mary's,1878.0,-0.0,-18
22,Kansas State,1877.0,-0.1,+6
23,TCU,1874.0,-0.1,-47
24,Xavier,1872.0,-0.0,-20
25,Memphis,1871.0,-0.0,+11
26,Providence,1870.0,-0.2,-20
27,UNC,1865.0,-0.4,-6
28,Duke,1855.0,-0.0,-38
29,NC State,1854.0,-0.0,+15
30,San Diego State,1854.0,-0.1,+20
31,Maryland,1852.0,-0.0,-5
32,Iowa State,1852.0,-0.0,-42
33,Arkansas,1852.0,-0.2,+13
34,Boise State,1847.0,-0.4,+3
35,West Virginia,1836.0,-0.0,-12
36,Michigan State,1835.0,-0.2,+13
37,Mississippi State,1830.0,-0.2,+38
38,Rutgers,1824.0,-0.2,-22
39,Michigan,1820.0,-0.2,+13
40,Auburn,1816.0,-0.7,-27
41,Seton Hall,1799.0,-0.0,-38
42,Kentucky,1798.0,-0.2,-74
43,Oregon,1794.0,-0.1,+14
44,Missouri,1791.0,-0.0,+24
45,Florida Atlantic,1790.0,-0.1,+8
46,Wake Forest,1787.0,-0.2,+21
47,USC,1783.0,-0.0,-54
48,Texas Tech,1782.0,-0.2,+19
49,Virginia Tech,1778.0,-0.3,-34
50,Drake,1771.0,,+40
