Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,1990.0,-0.4,+3
2,UConn,1981.0,-0.3,-52
3,Purdue,1974.0,-0.5,+2
4,Kansas,1961.0,-1.6,+2
5,Marquette,1922.0,-0.0,-35
6,Texas,1921.0,-0.6,+1
7,Arizona,1905.0,-0.6,+13
8,Memphis,1890.0,-0.3,+24
9,Tennessee,1883.0,-0.4,+4
10,Auburn,1872.0,-0.2,+1
11,Mississippi State,1868.0,-0.1,+12
12,Illinois,1866.0,-0.0,+21
13,Oklahoma,1865.0,-0.0,-33
14,Ohio State,1864.0,-0.0,+2
15,Duke,1864.0,-0.2,+20
16,Wisconsin,1860.0,-0.0,+1
17,UNC,1859.0,-0.0,+33
18,Alabama,1859.0,-0.2,-23
19,Miami (FL),1853.0,-0.3,+1
20,Gonzaga,1845.0,-0.0,+2
21,Florida Atlantic,1845.0,-0.2,+13
22,San Diego State,1841.0,-0.0,+6
23,Providence,1841.0,-0.1,+51
24,Iowa State,1838.0,-0.1,+2
25,BYU,1836.0,-0.2,+3
26,Utah State,1832.0,-0.1,+3
27,Michigan State,1830.0,-0.2,+8
28,TCU,1825.0,-0.1,-23
29,Baylor,1823.0,-0.1,-19
30,Texas A&M,1821.0,-0.0,+1
31,Texas Tech,1821.0,-0.2,+3
32,Kansas State,1817.0,-0.2,+11
33,Villanova,1812.0,-0.0,+34
34,Kentucky,1812.0,-0.0,+11
35,Creighton,1811.0,-0.2,-18
36,Virginia,1807.0,-0.1,-23
37,Nebraska,1805.0,-0.3,+2
38,Indiana,1797.0,-0.1,+4
39,Nevada,1795.0,-0.2,+71
40,Maryland,1791.0,-0.1,+30
41,Northwestern,1789.0,-0.2,+25
42,Cincinnati,1783.0,-0.2,+4
43,Colorado,1778.0,-0.1,+4
44,NC State,1776.0,-0.0,+9
45,Clemson,1776.0,-0.1,+3
46,Pitt,1774.0,-0.2,+7
47,Seton Hall,1770.0,-0.0,+23
48,Florida,1769.0,-0.0,+21
49,Xavier,1768.0,-0.0,+11
50,Colorado State,1767.0,,+13
