Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,2030.0,-0.9,+40
2,Houston,2007.0,-0.9,+12
3,Purdue,1985.0,-0.2,-31
4,UCLA,1980.0,-0.9,+4
5,Alabama,1958.0,-0.0,-11
6,Marquette,1957.0,-0.1,+4
7,Gonzaga,1955.0,-0.4,+22
8,Texas,1946.0,-0.0,+3
9,Creighton,1946.0,-0.2,-3
10,Baylor,1942.0,-0.4,-16
11,Texas A&M,1932.0,-0.3,+26
12,Virginia,1924.0,-0.5,+3
13,Miami (FL),1911.0,-0.2,+8
14,Indiana,1906.0,-0.0,-5
15,UConn,1905.0,-0.2,+9
16,Tennessee,1900.0,-0.0,-8
17,Providence,1900.0,-0.0,+30
18,Arizona,1899.0,-0.2,+19
19,Duke,1893.0,-0.3,+39
20,TCU,1886.0,-0.1,+12
21,Saint Mary's,1883.0,-0.5,+5
22,Memphis,1871.0,-0.0,-5
23,Xavier,1871.0,-0.0,-1
24,Maryland,1870.0,-0.3,+18
25,Iowa,1863.0,-0.2,-26
26,Kansas State,1858.0,-0.0,-19
27,San Diego State,1858.0,-0.0,+4
28,Arkansas,1858.0,-0.0,+6
29,Iowa State,1857.0,-0.0,+5
30,NC State,1856.0,-0.0,+2
31,Boise State,1856.0,-0.2,+8
32,UNC,1850.0,-0.1,-16
33,Oklahoma State,1847.0,-0.0,-54
34,Illinois,1846.0,-0.0,-37
35,Kentucky,1846.0,-0.0,+47
36,Northwestern,1846.0,-0.0,+46
37,Michigan State,1845.0,-0.5,-23
38,Auburn,1832.0,-0.1,+16
39,Michigan,1829.0,-0.3,+9
40,Mississippi State,1821.0,-0.4,-9
41,Texas Tech,1811.0,-0.2,+28
42,West Virginia,1807.0,-0.5,-28
43,USC,1794.0,-0.1,+11
44,Seton Hall,1791.0,-0.0,-8
45,Rutgers,1791.0,-0.2,-34
46,Penn State,1787.0,-0.0,+40
47,Drake,1787.0,-0.1,+16
48,North Texas,1784.0,-0.2,+22
49,Tulane,1780.0,-0.1,+20
50,Oklahoma,1778.0,,+29
