Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,2000.0,-0.9,+8
2,Purdue,1978.0,-0.1,+3
3,Gonzaga,1976.0,-0.6,+19
4,Houston,1961.0,-1.1,+17
5,UCLA,1933.0,-0.4,+62
6,UConn,1922.0,-0.2,+17
7,Arizona,1917.0,-0.1,+15
8,Tennessee,1914.0,-0.4,-2
9,Duke,1904.0,-0.4,+0
10,Arkansas,1895.0,-0.8,+7
11,Memphis,1874.0,-0.7,-6
12,Baylor,1856.0,-0.4,+0
13,Wisconsin,1847.0,-0.2,+20
14,Virginia Tech,1843.0,-0.0,+10
15,Iowa,1843.0,-0.0,-17
16,Saint Mary's,1842.0,-0.0,+9
17,Texas Tech,1842.0,-0.0,+4
18,Auburn,1842.0,-0.0,+3
19,Boise State,1841.0,-0.2,+2
20,Miami (FL),1835.0,-0.1,+1
21,UNC,1833.0,-0.6,+12
22,Kentucky,1817.0,-0.1,-23
23,Marquette,1815.0,-0.1,+49
24,Alabama,1813.0,-0.3,-7
25,Illinois,1806.0,-0.2,+1
26,TCU,1802.0,-0.1,+0
27,Texas,1799.0,-0.0,+2
28,Virginia,1799.0,-0.2,-16
29,San Diego State,1794.0,-0.2,+4
30,Oklahoma,1789.0,-0.0,+2
31,Arizona State,1789.0,-0.2,+14
32,St. John's (NY),1783.0,-0.2,+9
33,Providence,1779.0,-0.2,+16
34,Villanova,1775.0,-0.2,+4
35,Ohio State,1770.0,-0.0,-9
36,Oklahoma State,1770.0,-0.2,+10
37,LSU,1765.0,-0.1,+4
38,Mississippi State,1762.0,-0.0,+21
39,North Texas,1761.0,-0.0,+24
40,Michigan,1761.0,-0.1,+2
41,Xavier,1758.0,-0.2,+10
42,Colorado,1754.0,-0.1,+2
43,Texas A&M,1752.0,-0.0,-3
44,Indiana,1751.0,-0.1,-8
45,West Virginia,1749.0,-0.0,+0
46,Utah State,1749.0,-0.2,+7
47,Rutgers,1743.0,-0.2,+8
48,Maryland,1737.0,-0.0,-49
49,Iowa State,1737.0,-0.1,+2
50,Michigan State,1735.0,,+0
