Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2331.0,-4.5,+17
2,Baylor,2216.0,-2.2,+24
3,Illinois,2161.0,-1.0,+0
4,Houston,2136.0,-0.2,+30
5,Michigan,2130.0,-1.6,+8
6,Alabama,2089.0,-1.0,-39
7,Iowa,2064.0,-0.2,+0
8,USC,2060.0,-0.5,+14
9,Loyola (IL),2047.0,-0.0,-28
10,Arkansas,2046.0,-0.0,-9
11,Texas,2045.0,-0.0,+0
12,Florida State,2045.0,-0.2,-26
13,Oklahoma State,2041.0,-0.5,+0
14,Ohio State,2027.0,-0.0,+0
15,Villanova,2027.0,-0.0,-12
16,Virginia,2027.0,-0.1,+0
17,Kansas,2024.0,-0.0,+0
18,UCLA,2024.0,-0.6,+57
19,Memphis,2008.0,-0.2,+49
20,LSU,2003.0,-0.0,+0
21,West Virginia,2003.0,-0.0,+0
22,San Diego State,2003.0,-0.2,+0
23,Creighton,1998.0,-0.2,-7
24,Georgia Tech,1994.0,-0.1,+0
25,Texas Tech,1991.0,,+0
