Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Auburn,1978.0,-0.3,+44
2,Iowa State,1971.0,-0.0,+21
3,Purdue,1971.0,-1.3,+19
4,Marquette,1940.0,-0.0,+4
5,Tennessee,1939.0,-0.7,+2
6,UConn,1922.0,-0.6,-116
7,Florida,1908.0,-0.1,+34
8,Alabama,1906.0,-0.0,+11
9,Illinois,1905.0,-0.2,+17
10,Houston,1901.0,-0.3,-32
11,Oregon,1893.0,-0.2,+55
12,Wisconsin,1888.0,-0.4,+1
13,Gonzaga,1878.0,-0.3,-14
14,Kansas,1871.0,-0.1,+22
15,Kentucky,1868.0,-0.0,+8
16,Duke,1867.0,-0.5,-9
17,St. John's (NY),1854.0,-0.0,+1
18,Nebraska,1853.0,-0.5,+6
19,Texas Tech,1841.0,-0.1,+5
20,Texas A&M,1838.0,-0.0,-2
21,Cincinnati,1838.0,-0.1,+1
22,Michigan State,1835.0,-0.1,+20
23,Texas,1832.0,-0.0,+1
24,UNC,1832.0,-0.2,-26
25,Pitt,1828.0,-0.1,+13
26,Utah State,1825.0,-0.1,+16
27,Baylor,1822.0,-0.0,+1
28,BYU,1821.0,-0.1,-7
29,Ohio State,1818.0,-0.0,-10
30,Mississippi State,1817.0,-0.0,-14
31,Nevada,1816.0,-0.1,+0
32,Oklahoma,1814.0,-0.0,+39
33,San Diego State,1814.0,-0.3,+42
34,Saint Mary's,1806.0,-0.0,+20
35,Dayton,1805.0,-0.0,+58
36,Colorado,1804.0,-0.0,-43
37,Northwestern,1804.0,-0.2,-6
38,NC State,1798.0,-0.3,-41
39,Iowa,1791.0,-0.0,+2
40,Creighton,1790.0,-0.4,-47
41,Utah,1780.0,-0.1,+3
42,Penn State,1777.0,-0.0,-25
43,Memphis,1776.0,-0.0,+43
44,Arizona,1776.0,-0.2,-31
45,New Mexico,1771.0,-0.1,+2
46,Drake,1769.0,-0.2,+3
47,Washington,1765.0,-0.0,+25
48,Georgia,1764.0,-0.0,+9
49,Butler,1764.0,-0.0,+51
50,Michigan,1763.0,,+71
