Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2002.0,-1.4,+0
2,Texas,1968.0,-0.5,+0
3,Houston,1956.0,-0.6,+3
4,Alabama,1942.0,-0.2,+4
5,Kansas,1936.0,-0.3,+2
6,Marquette,1928.0,-0.4,+2
7,UCLA,1919.0,-0.4,+1
8,Miami (FL),1908.0,-0.2,+11
9,Purdue,1904.0,-0.9,+19
10,Baylor,1882.0,-0.1,+16
11,Tennessee,1880.0,-0.0,+26
12,Michigan,1880.0,-0.2,+38
13,Memphis,1875.0,-0.0,+30
14,Creighton,1874.0,-0.1,+4
15,Gonzaga,1872.0,-0.0,+3
16,Texas A&M,1872.0,-0.4,+19
17,Arizona,1862.0,-0.1,+26
18,Kansas State,1860.0,-0.2,+5
19,Penn State,1856.0,-0.0,+1
20,Xavier,1856.0,-0.1,-15
21,Duke,1854.0,-0.1,-24
22,TCU,1852.0,-0.2,+1
23,Iowa,1847.0,-0.1,+3
24,Indiana,1844.0,-0.0,+2
25,Kentucky,1843.0,-0.3,+1
26,Virginia,1836.0,-0.0,+7
27,San Diego State,1835.0,-0.1,-25
28,Michigan State,1833.0,-0.0,+1
29,Northwestern,1833.0,-0.3,+6
30,UNC,1826.0,-0.0,+1
31,USC,1826.0,-0.0,+2
32,Texas Tech,1825.0,-0.1,+8
33,Oklahoma,1823.0,-0.0,+1
34,Seton Hall,1822.0,-0.0,+4
35,Florida Atlantic,1821.0,-0.1,+5
36,Arkansas,1819.0,-0.2,+5
37,Iowa State,1813.0,-0.1,+4
38,Mississippi State,1811.0,-0.1,+26
39,Illinois,1809.0,-0.2,+2
40,Cincinnati,1804.0,-0.0,+8
41,Auburn,1803.0,-0.4,-12
42,Wisconsin,1792.0,-0.2,-26
43,North Texas,1788.0,-0.0,+4
44,Nebraska,1788.0,-0.1,+4
45,Maryland,1785.0,-0.0,-39
46,Providence,1785.0,-0.2,+3
47,Oregon,1781.0,-0.1,+3
48,Pitt,1778.0,-0.3,+5
49,NC State,1771.0,-0.0,+7
50,Oklahoma State,1771.0,,+11
