Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Iowa State,1986.0,-0.9,+15
2,Auburn,1963.0,-0.4,-15
3,UConn,1953.0,-0.2,+31
4,Tennessee,1947.0,-0.2,+8
5,Purdue,1941.0,-0.0,-30
6,Marquette,1940.0,-0.2,-0
7,Alabama,1936.0,-0.8,+30
8,Florida,1916.0,-0.0,+7
9,Houston,1916.0,-0.7,+16
10,Duke,1898.0,-0.1,+31
11,Michigan State,1895.0,-0.2,+60
12,Illinois,1889.0,-0.3,-16
13,Oregon,1882.0,-0.6,-11
14,Gonzaga,1868.0,-0.0,-11
15,St. John's (NY),1867.0,-0.1,+13
16,Texas A&M,1865.0,-0.3,+27
17,Kentucky,1858.0,-0.2,-10
18,Mississippi State,1853.0,-0.2,+36
19,Wisconsin,1848.0,-0.6,-40
20,Saint Mary's,1834.0,-0.1,+28
21,Texas Tech,1831.0,-0.0,-10
22,Utah State,1830.0,-0.1,+5
23,Creighton,1828.0,-0.0,+38
24,San Diego State,1828.0,-0.1,+14
25,Texas,1825.0,-0.2,-7
26,Oklahoma,1820.0,-0.0,+6
27,Colorado,1819.0,-0.1,+15
28,Nebraska,1817.0,-0.0,-35
29,Baylor,1816.0,-0.1,-6
30,Penn State,1813.0,-0.0,+36
31,Northwestern,1813.0,-0.1,+9
32,Cincinnati,1811.0,-0.0,-27
33,Kansas,1810.0,-0.0,-61
34,Dayton,1809.0,-0.2,+4
35,UNC,1805.0,-0.2,-28
36,Pitt,1801.0,-0.1,-27
37,Ole Miss,1798.0,-0.1,+38
38,Michigan,1796.0,-0.1,+33
39,Ohio State,1794.0,-0.0,-24
40,NC State,1793.0,-0.1,-4
41,UCLA,1791.0,-0.0,+41
42,Iowa,1790.0,-0.2,-1
43,Maryland,1784.0,-0.0,+31
44,Arizona,1784.0,-0.2,+9
45,BYU,1779.0,-0.1,-42
46,Georgia,1776.0,-0.2,+12
47,Drake,1772.0,-0.0,+4
48,South Carolina,1771.0,-0.2,+39
49,Washington State,1767.0,-0.5,+60
50,Arizona State,1755.0,,+6
