Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2314.0,-4.3,+5
2,Baylor,2205.0,-1.7,+24
3,Illinois,2161.0,-1.3,-48
4,Alabama,2128.0,-0.0,+19
5,Houston,2127.0,-0.2,+26
6,Michigan,2122.0,-2.0,+14
7,Florida State,2071.0,-0.3,+28
8,Iowa,2064.0,-0.3,-48
9,Arkansas,2057.0,-0.4,+12
10,Loyola (IL),2047.0,-0.0,+20
11,USC,2046.0,-0.0,+76
12,Texas,2045.0,-0.2,+0
13,Oklahoma State,2041.0,-0.5,-39
14,Ohio State,2027.0,-0.0,+0
15,Villanova,2027.0,-0.0,+4
16,Virginia,2027.0,-0.1,+0
17,Kansas,2024.0,-0.5,-76
18,Oregon,2012.0,-0.3,+48
19,Creighton,2005.0,-0.1,+14
20,LSU,2003.0,-0.0,-14
21,West Virginia,2003.0,-0.0,-14
22,San Diego State,2003.0,-0.4,+0
23,Georgia Tech,1994.0,-0.1,+0
24,Memphis,1991.0,-0.0,+32
25,Texas Tech,1991.0,-0.0,-9
26,Oregon State,1991.0,-0.1,+67
27,Syracuse,1988.0,-0.0,-6
28,UConn,1987.0,-0.0,+0
29,Wisconsin,1987.0,-0.4,-12
30,Purdue,1978.0,-0.0,+0
31,Colorado,1977.0,-0.3,-28
32,Duke,1969.0,-0.1,+0
33,BYU,1966.0,-0.0,+0
34,UCLA,1966.0,-0.1,+23
35,UNC,1964.0,-0.2,+0
36,Maryland,1960.0,-0.7,-19
37,Oklahoma,1941.0,-0.4,-5
38,Wichita State,1932.0,-0.0,+0
39,Georgetown,1931.0,-0.4,+0
40,Tennessee,1921.0,-0.0,+0
41,Louisville,1921.0,-0.1,+0
42,Michigan State,1918.0,-0.0,+0
43,Florida,1917.0,-0.2,-26
44,St. John's (NY),1913.0,-0.0,+0
45,Rutgers,1912.0,-0.3,-6
46,Clemson,1905.0,-0.0,+0
47,Seton Hall,1904.0,-0.0,+0
48,Utah State,1903.0,-0.0,+0
49,Kentucky,1902.0,-0.3,+0
50,St. Bonaventure,1895.0,-0.2,+0
51,NC State,1891.0,-0.0,-18
52,Penn State,1890.0,-0.1,+0
53,VCU,1888.0,-0.1,+0
54,Mississippi State,1885.0,-0.2,+49
55,Xavier,1881.0,-0.0,+0
56,Arizona,1880.0,-0.3,+0
57,Missouri,1873.0,-0.1,+0
58,Auburn,1870.0,-0.1,+0
59,Ole Miss,1868.0,-0.2,+0
60,Marquette,1863.0,-0.1,+0
61,Virginia Tech,1860.0,-0.1,+0
62,Providence,1858.0,-0.5,+0
63,Liberty,1846.0,-0.0,+0
64,Saint Mary's,1845.0,-0.1,+0
65,Indiana,1843.0,-0.0,+0
66,Colorado State,1842.0,-0.3,-7
67,Colgate,1835.0,-0.1,+0
68,SMU,1832.0,-0.0,+0
69,Dayton,1831.0,-0.0,+0
70,Louisiana Tech,1830.0,-0.0,-22
71,Winthrop,1830.0,-0.0,+0
72,Saint Louis,1829.0,-0.1,+0
73,Butler,1826.0,-0.0,+0
74,Notre Dame,1825.0,-0.0,+0
75,Ohio,1825.0,-0.0,-14
76,Cincinnati,1825.0,-0.1,+0
77,Western Kentucky,1823.0,-0.0,-18
78,Yale,1823.0,-0.0,+0
79,Abilene Christian,1823.0,-0.2,-23
80,North Texas,1819.0,-0.2,-16
81,Boise State,1814.0,-0.2,-7
82,Drake,1810.0,-0.0,+0
83,UCF,1809.0,-0.0,+0
84,Davidson,1809.0,-0.1,+0
85,UNC Greensboro,1806.0,-0.2,+0
86,Richmond,1802.0,-0.0,-8
87,Nevada,1801.0,-0.1,+0
88,Buffalo,1798.0,-0.3,+0
89,Utah,1790.0,-0.0,+0
90,Furman,1790.0,-0.2,+0
91,UCSB,1786.0,-0.1,+0
92,Eastern Washington,1784.0,-0.2,+0
93,Vanderbilt,1779.0,-0.3,+0
94,Minnesota,1772.0,-0.2,+0
95,Georgia,1767.0,-0.2,+0
96,Missouri State,1763.0,-0.0,+0
97,Wright State,1762.0,-0.1,+0
98,Alabama-Birmingham,1760.0,-0.0,+0
99,Belmont,1760.0,-0.1,+0
100,Texas State,1758.0,,+0
