Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2001.0,-1.5,+19
2,Houston,1963.0,-0.2,+22
3,Texas,1957.0,-0.9,+3
4,Kansas,1934.0,-0.1,+11
5,Marquette,1932.0,-0.1,+17
6,Alabama,1930.0,-0.8,+6
7,Miami (FL),1910.0,-0.5,+18
8,UCLA,1897.0,-0.1,+0
9,Purdue,1894.0,-0.6,+17
10,Creighton,1879.0,-0.1,+14
11,Baylor,1876.0,-0.0,+1
12,Texas A&M,1875.0,-0.2,+13
13,Tennessee,1871.0,-0.4,+2
14,Arizona,1861.0,-0.1,+16
15,Duke,1859.0,-0.0,+22
16,Memphis,1858.0,-0.1,+1
17,San Diego State,1856.0,-0.1,+35
18,Penn State,1853.0,-0.1,+4
19,TCU,1851.0,-0.0,+3
20,Kansas State,1850.0,-0.0,+2
21,Mississippi State,1849.0,-0.2,+44
22,Gonzaga,1845.0,-0.1,+0
23,Xavier,1842.0,-0.5,-23
24,Oklahoma,1830.0,-0.0,+9
25,Virginia,1829.0,-0.0,+3
26,Iowa,1829.0,-0.2,-11
27,Texas Tech,1824.0,-0.1,+2
28,Kentucky,1822.0,-0.0,-10
29,Seton Hall,1821.0,-0.0,+2
30,Michigan State,1820.0,-0.0,-4
31,Indiana,1820.0,-0.1,-17
32,UNC,1818.0,-0.1,+4
33,Auburn,1816.0,-0.0,+23
34,Iowa State,1816.0,-0.2,+4
35,Northwestern,1811.0,-0.0,-18
36,Cincinnati,1811.0,-0.3,+5
37,Nebraska,1804.0,-0.2,+19
38,Providence,1800.0,-0.2,+18
39,Michigan,1796.0,-0.1,-50
40,Illinois,1793.0,-0.3,-11
41,Villanova,1785.0,-0.2,-8
42,Pitt,1781.0,-0.0,+9
43,Clemson,1780.0,-0.1,+23
44,Oregon,1777.0,-0.2,+3
45,BYU,1773.0,-0.2,+7
46,Wisconsin,1769.0,-0.0,-17
47,NC State,1768.0,-0.2,+3
48,Arkansas,1764.0,-0.1,-43
49,Ohio State,1762.0,-0.0,+5
50,Utah State,1761.0,,+18
