Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,1982.0,-0.0,+12
2,Purdue,1981.0,-1.4,+8
3,Gonzaga,1945.0,-0.1,+9
4,Houston,1943.0,-0.5,-39
5,Tennessee,1930.0,-0.5,+3
6,Duke,1917.0,-0.2,+16
7,UConn,1913.0,-0.7,+18
8,Arizona,1894.0,-0.3,+13
9,Arkansas,1886.0,-0.3,+13
10,Memphis,1878.0,-0.3,+31
11,UCLA,1871.0,-0.0,+6
12,Iowa,1871.0,-0.5,-1
13,Texas Tech,1857.0,-0.1,+1
14,Baylor,1855.0,-0.6,+4
15,Kentucky,1840.0,-0.0,+10
16,Boise State,1839.0,-0.0,+12
17,Auburn,1838.0,-0.2,-30
18,Virginia Tech,1834.0,-0.0,+32
19,Miami (FL),1834.0,-0.0,+16
20,Saint Mary's,1833.0,-0.1,+34
21,Wisconsin,1830.0,-0.0,+10
22,UNC,1829.0,-0.5,-12
23,Alabama,1817.0,-0.0,+40
24,Virginia,1816.0,-0.4,+4
25,Illinois,1805.0,-0.3,-47
26,Texas,1797.0,-0.0,-21
27,Oklahoma,1797.0,-0.2,-10
28,TCU,1792.0,-0.2,+12
29,Ohio State,1788.0,-0.0,+5
30,Maryland,1787.0,-0.0,-10
31,San Diego State,1786.0,-0.4,-23
32,Arizona State,1775.0,-0.0,+24
33,St. John's (NY),1775.0,-0.0,-7
34,Villanova,1774.0,-0.1,+8
35,LSU,1771.0,-0.2,+6
36,Marquette,1767.0,-0.2,+2
37,Providence,1761.0,-0.0,+5
38,Oklahoma State,1761.0,-0.1,+10
39,Indiana,1759.0,-0.0,+2
40,Michigan,1759.0,-0.2,+8
41,Creighton,1755.0,-0.0,-72
42,Texas A&M,1755.0,-0.1,+0
43,Colorado,1752.0,-0.1,-4
44,Notre Dame,1750.0,-0.3,+2
45,Utah State,1742.0,-0.0,+50
46,Iowa State,1741.0,-0.0,+6
47,Xavier,1740.0,-0.0,+11
48,Mississippi State,1739.0,-0.1,+0
49,North Texas,1737.0,-0.0,+13
50,West Virginia,1737.0,,+25
