Rank,Team,Elo Rating,Point Spread vs. Next Rank,3 Day Change
1,Gonzaga,2308.0,-3.9,+0
2,Illinois,2209.0,-1.1,+2
3,Baylor,2181.0,-2.8,+2
4,Iowa,2109.0,-0.1,+0
5,Alabama,2107.0,-0.0,+0
6,Michigan,2106.0,-0.2,+0
7,Houston,2101.0,-0.2,+4
8,Kansas,2095.0,-0.6,+0
9,Oklahoma State,2079.0,-0.5,+8
10,Texas,2065.0,-0.2,+0
11,Virginia,2059.0,-0.5,+0
12,Arkansas,2045.0,-0.4,+14
13,Florida State,2035.0,-0.3,+0
14,Ohio State,2027.0,-0.0,-38
15,Loyola (IL),2027.0,-0.2,+26
16,Villanova,2023.0,-0.2,+11
17,West Virginia,2017.0,-0.1,+10
18,UConn,2015.0,-0.5,+0
19,San Diego State,2003.0,-0.1,-42
20,Texas Tech,2000.0,-0.0,+20
21,BYU,1999.0,-0.0,+0
22,Wisconsin,1999.0,-0.1,+47
23,LSU,1996.0,-0.1,+0
24,Syracuse,1994.0,-0.0,+42
25,Georgia Tech,1994.0,-0.3,-26
26,Creighton,1987.0,-0.4,+0
27,Purdue,1978.0,-0.4,-45
28,Georgetown,1969.0,-0.0,+0
29,Duke,1969.0,-0.1,+0
30,Colorado,1966.0,-0.1,+0
31,UNC,1964.0,-0.0,-47
32,Oregon,1964.0,-0.4,+0
33,USC,1953.0,-0.1,+0
34,Maryland,1951.0,-0.3,+0
35,Florida,1944.0,-0.0,+13
36,Memphis,1944.0,-0.4,+0
37,Oklahoma,1934.0,-0.1,+0
38,Wichita State,1932.0,-0.3,-15
39,Oregon State,1924.0,-0.1,+36
40,Tennessee,1921.0,-0.0,-36
41,Louisville,1921.0,-0.1,+0
42,Michigan State,1918.0,-0.0,-21
43,Rutgers,1918.0,-0.1,+16
44,St. Bonaventure,1916.0,-0.1,+0
45,St. John's (NY),1913.0,-0.1,+0
46,UCLA,1910.0,-0.0,+21
47,NC State,1909.0,-0.2,+22
48,Clemson,1905.0,-0.0,-16
49,Seton Hall,1904.0,-0.0,+0
50,Utah State,1903.0,-0.0,-20
51,Kentucky,1902.0,-0.5,+0
52,Penn State,1890.0,-0.1,+0
53,VCU,1888.0,-0.1,+0
54,Missouri,1885.0,-0.2,+0
55,Xavier,1881.0,-0.0,+0
56,Arizona,1880.0,-0.4,+0
57,Auburn,1870.0,-0.1,+0
58,Ole Miss,1868.0,-0.2,-28
59,Marquette,1863.0,-0.1,+0
60,Virginia Tech,1860.0,-0.1,-13
61,Providence,1858.0,-0.2,+0
62,Louisiana Tech,1852.0,-0.2,+28
63,Saint Louis,1848.0,-0.0,+0
64,Colorado State,1848.0,-0.0,+10
65,Dayton,1847.0,-0.0,+0
66,Liberty,1846.0,-0.0,-8
67,Saint Mary's,1845.0,-0.1,-13
68,Indiana,1843.0,-0.1,+0
69,Western Kentucky,1841.0,-0.2,+13
70,North Texas,1836.0,-0.0,+45
71,Colgate,1835.0,-0.1,-14
72,SMU,1832.0,-0.1,-11
73,Winthrop,1830.0,-0.1,-11
74,Drake,1828.0,-0.0,+15
75,Abilene Christian,1827.0,-0.0,+0
76,Butler,1826.0,-0.0,+0
77,Notre Dame,1825.0,-0.0,+0
78,Cincinnati,1825.0,-0.1,+0
79,Yale,1823.0,-0.1,+0
80,Boise State,1821.0,-0.2,+11
81,Mississippi State,1816.0,-0.1,+0
82,UNC Greensboro,1814.0,-0.2,+0
83,Richmond,1810.0,-0.0,+22
84,UCF,1809.0,-0.0,+0
85,Davidson,1809.0,-0.0,-22
86,Ohio,1808.0,-0.3,+0
87,Nevada,1801.0,-0.1,+0
88,Buffalo,1798.0,-0.3,-10
89,UCSB,1790.0,-0.0,+0
90,Utah,1790.0,-0.0,+0
91,Furman,1790.0,-0.1,+0
92,Eastern Washington,1788.0,-0.4,+0
93,Vanderbilt,1779.0,-0.3,+0
94,Minnesota,1772.0,-0.2,+0
95,Georgia,1767.0,-0.2,+0
96,Missouri State,1763.0,-0.0,+0
97,Wright State,1762.0,-0.1,+0
98,Alabama-Birmingham,1760.0,-0.0,+0
99,Belmont,1760.0,-0.1,+0
100,Texas State,1758.0,,+0
