Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2058.0,-1.3,+63
2,Texas,2026.0,-0.5,-10
3,Alabama,2013.0,-0.3,-28
4,UCLA,2006.0,-0.7,-13
5,Marquette,1989.0,-0.0,+0
6,Miami (FL),1988.0,-0.1,+64
7,Houston,1985.0,-0.3,-39
8,Gonzaga,1978.0,-0.0,-30
9,Kansas,1977.0,-0.9,+0
10,San Diego State,1954.0,-0.6,+37
11,Duke,1940.0,-0.0,+0
12,Memphis,1939.0,-0.7,+0
13,Kansas State,1921.0,-0.3,-0
14,Creighton,1913.0,-0.0,-1
15,Xavier,1913.0,-0.2,-16
16,Purdue,1909.0,-0.4,+0
17,Florida Atlantic,1899.0,-0.2,+38
18,Michigan State,1895.0,-0.0,-15
19,Texas A&M,1894.0,-0.1,+0
20,Tennessee,1891.0,-0.1,-22
21,Arizona,1888.0,-0.2,+0
22,Baylor,1882.0,-0.2,+0
23,Penn State,1877.0,-0.3,+0
24,Kentucky,1870.0,-0.2,+0
25,Virginia,1864.0,-0.1,+0
26,UNC,1862.0,-0.0,+0
27,West Virginia,1861.0,-0.0,+0
28,Iowa,1860.0,-0.0,+0
29,TCU,1859.0,-0.0,+0
30,Indiana,1858.0,-0.0,+0
31,Michigan,1857.0,-0.0,+0
32,Saint Mary's,1856.0,-0.7,+0
33,Auburn,1839.0,-0.0,+0
34,Seton Hall,1838.0,-0.0,+0
35,Northwestern,1837.0,-0.1,+0
36,Arkansas,1834.0,-0.0,-20
37,Maryland,1833.0,-0.0,+0
38,Wisconsin,1832.0,-0.4,+16
39,Drake,1823.0,-0.0,+0
40,Utah State,1823.0,-0.2,+0
41,USC,1819.0,-0.1,+0
42,Oklahoma,1817.0,-0.1,+0
43,North Texas,1815.0,-0.0,+26
44,VCU,1814.0,-0.1,+0
45,Texas Tech,1811.0,-0.0,+0
46,UAB,1810.0,-0.1,+28
47,Illinois,1807.0,-0.1,+0
48,Villanova,1805.0,-0.2,+0
49,Oklahoma State,1801.0,-0.1,-26
50,Iowa State,1799.0,,+0
