Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,2046.0,-1.2,+15
2,Houston,2018.0,-1.1,+14
3,UCLA,1991.0,-0.5,+13
4,Marquette,1978.0,-0.4,+15
5,Alabama,1968.0,-0.2,+8
6,Gonzaga,1963.0,-0.5,+13
7,Purdue,1951.0,-0.0,-36
8,UConn,1950.0,-0.1,+36
9,Texas,1948.0,-0.3,-3
10,Baylor,1940.0,-0.8,-4
11,Texas A&M,1921.0,-0.0,-12
12,Indiana,1920.0,-0.5,+9
13,Duke,1907.0,-0.0,+13
14,Creighton,1906.0,-0.0,-46
15,Kansas State,1905.0,-0.2,+39
16,Maryland,1899.0,-0.0,+22
17,Tennessee,1899.0,-0.0,-4
18,Kentucky,1898.0,-0.1,+47
19,Miami (FL),1895.0,-0.2,-20
20,Providence,1891.0,-0.0,-15
21,TCU,1890.0,-0.2,-1
22,Memphis,1886.0,-0.1,+13
23,Arizona,1884.0,-0.2,-19
24,Michigan,1878.0,-0.0,+41
25,Saint Mary's,1877.0,-0.1,-8
26,San Diego State,1874.0,-0.0,+13
27,UNC,1873.0,-0.2,+20
28,Arkansas,1868.0,-0.2,+5
29,Xavier,1864.0,-0.1,-17
30,Michigan State,1861.0,-0.2,+12
31,Virginia,1856.0,-0.0,-73
32,Iowa,1856.0,-0.1,-12
33,USC,1854.0,-0.6,+55
34,West Virginia,1840.0,-0.0,+24
35,Mississippi State,1839.0,-0.2,+11
36,Texas Tech,1833.0,-0.2,+18
37,Illinois,1828.0,-0.0,-24
38,Northwestern,1828.0,-0.0,-28
39,Boise State,1828.0,-0.1,-29
40,Villanova,1825.0,-0.3,+48
41,Clemson,1818.0,-0.2,+102
42,Auburn,1812.0,-0.1,-27
43,Oklahoma State,1809.0,-0.0,-43
44,Iowa State,1808.0,-0.3,-57
45,Seton Hall,1801.0,-0.0,+0
46,NC State,1800.0,-0.0,-62
47,Oklahoma,1799.0,-0.2,+13
48,Missouri,1794.0,-0.0,+41
49,Pitt,1793.0,-0.1,+21
50,Wisconsin,1791.0,,+16
