Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2038.0,-2.2,+0
2,Purdue,1984.0,-1.4,+11
3,Iowa State,1950.0,-0.7,+2
4,Auburn,1932.0,-0.2,+3
5,Houston,1927.0,-0.3,+3
6,Illinois,1920.0,-0.8,+2
7,Tennessee,1900.0,-0.3,+7
8,Marquette,1892.0,-0.6,+13
9,Creighton,1878.0,-0.4,+3
10,Florida,1869.0,-0.2,+23
11,St. John's (NY),1864.0,-0.1,+15
12,Alabama,1862.0,-0.1,-7
13,Gonzaga,1859.0,-0.2,+8
14,Kentucky,1854.0,-0.2,+17
15,Wisconsin,1849.0,-0.1,+25
16,UNC,1847.0,-0.0,+2
17,Colorado,1847.0,-0.1,+5
18,Kansas,1845.0,-0.0,+26
19,Texas Tech,1845.0,-0.0,+15
20,Arizona,1845.0,-0.2,-25
21,Texas A&M,1839.0,-0.0,+25
22,Duke,1838.0,-0.2,-11
23,NC State,1834.0,-0.1,+1
24,Baylor,1832.0,-0.0,+26
25,Oregon,1831.0,-0.1,+8
26,BYU,1828.0,-0.4,+6
27,Ohio State,1819.0,-0.0,-16
28,Mississippi State,1819.0,-0.2,+17
29,Texas,1813.0,-0.0,+3
30,Cincinnati,1813.0,-0.1,+4
31,Pitt,1811.0,-0.0,+18
32,Nevada,1811.0,-0.0,+13
33,Michigan State,1810.0,-0.2,-19
34,Nebraska,1806.0,-0.0,-14
35,Iowa,1806.0,-0.0,+22
36,Northwestern,1805.0,-0.2,+4
37,San Diego State,1800.0,-0.1,+0
38,Penn State,1798.0,-0.5,+31
39,Indiana,1786.0,-0.1,+20
40,Saint Mary's,1784.0,-0.0,+23
41,Utah State,1783.0,-0.2,+0
42,UCF,1779.0,-0.1,+12
43,Seton Hall,1777.0,-0.1,-17
44,Oklahoma,1775.0,-0.1,+4
45,Utah,1773.0,-0.3,-10
46,Xavier,1765.0,-0.1,+23
47,Providence,1762.0,-0.0,+4
48,New Mexico,1762.0,-0.1,-8
49,TCU,1759.0,-0.7,-30
50,Georgia,1741.0,,+22
