Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Purdue,2000.0,-0.2,+25
2,Houston,1996.0,-0.2,+4
3,UConn,1991.0,-0.8,+11
4,Kansas,1971.0,-2.0,+4
5,Auburn,1921.0,-0.3,+45
6,Marquette,1913.0,-0.5,-16
7,UNC,1900.0,-0.0,+39
8,Tennessee,1900.0,-0.2,+18
9,Memphis,1896.0,-0.2,+6
10,Alabama,1892.0,-0.0,+4
11,Arizona,1891.0,-0.1,+48
12,Wisconsin,1888.0,-0.0,+28
13,Duke,1887.0,-0.0,+20
14,Texas,1886.0,-0.2,-42
15,Illinois,1882.0,-0.0,+15
16,San Diego State,1882.0,-0.1,+10
17,Oklahoma,1880.0,-0.2,+13
18,Texas Tech,1876.0,-0.8,+46
19,Ohio State,1856.0,-0.1,-14
20,Utah State,1854.0,-0.2,+22
21,Miami (FL),1850.0,-0.2,-5
22,Mississippi State,1846.0,-0.1,-23
23,Baylor,1844.0,-0.3,+21
24,Kansas State,1836.0,-0.1,+19
25,Creighton,1834.0,-0.2,+29
26,Kentucky,1830.0,-0.1,+13
27,Iowa State,1828.0,-0.0,-13
28,Cincinnati,1828.0,-0.1,+38
29,Michigan State,1826.0,-0.0,-14
30,St. John's (NY),1825.0,-0.1,+53
31,TCU,1823.0,-0.1,-2
32,Gonzaga,1821.0,-0.4,+8
33,Seton Hall,1810.0,-0.0,+40
34,Nebraska,1810.0,-0.1,+3
35,Nevada,1808.0,-0.2,+13
36,BYU,1804.0,-0.1,-38
37,Providence,1802.0,-0.1,-39
38,NC State,1800.0,-0.0,+24
39,Indiana,1799.0,-0.0,-3
40,Dayton,1798.0,-0.0,+27
41,Wake Forest,1797.0,-0.0,+34
42,Northwestern,1796.0,-0.2,+6
43,Oregon,1790.0,-0.2,+29
44,Florida Atlantic,1786.0,-0.1,-15
45,Villanova,1784.0,-0.5,-28
46,Colorado State,1772.0,-0.4,+5
47,Xavier,1763.0,-0.0,-5
48,Florida,1762.0,-0.0,-13
49,Iowa,1762.0,-0.1,+1
50,Maryland,1760.0,,-31
