Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2035.0,-1.7,+2
2,Baylor,1992.0,-1.1,-29
3,Houston,1963.0,-1.7,+8
4,Purdue,1919.0,-0.5,+27
5,Auburn,1907.0,-0.2,+17
6,UCLA,1901.0,-0.2,+32
7,Villanova,1896.0,-0.1,+12
8,Kentucky,1894.0,-0.7,+59
9,Arizona,1876.0,-0.0,-11
10,Kansas,1875.0,-0.4,-46
11,Illinois,1864.0,-0.4,+11
12,Michigan State,1854.0,-0.0,+11
13,Duke,1854.0,-0.2,+13
14,Texas Tech,1848.0,-0.0,+9
15,Texas,1847.0,-0.1,+37
16,USC,1844.0,-0.0,-26
17,Wisconsin,1844.0,-0.2,+4
18,Ohio State,1838.0,-0.1,+15
19,UConn,1835.0,-0.0,+11
20,Alabama,1834.0,-0.8,-11
21,Loyola (IL),1814.0,-0.1,+8
22,Arkansas,1811.0,-0.0,+22
23,Tennessee,1810.0,-0.0,+1
24,Iowa,1809.0,-0.0,-22
25,Marquette,1808.0,,+38
