Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,2068.0,-2.3,+7
2,Purdue,2010.0,-1.0,+4
3,UCLA,1985.0,-0.8,+12
4,Gonzaga,1965.0,-0.2,+7
5,Houston,1960.0,-1.1,+0
6,UConn,1931.0,-0.1,+0
7,Tennessee,1929.0,-0.2,-41
8,Marquette,1924.0,-0.7,+0
9,Iowa State,1906.0,-0.5,+25
10,TCU,1894.0,-0.0,+21
11,Alabama,1893.0,-0.3,+19
12,Texas,1886.0,-0.1,+6
13,Providence,1884.0,-0.2,-17
14,UNC,1878.0,-0.1,-7
15,Kansas State,1876.0,-0.2,-12
16,Virginia,1870.0,-0.0,+22
17,Xavier,1869.0,-0.1,+0
18,Illinois,1866.0,-0.1,+59
19,Auburn,1864.0,-0.0,+23
20,Baylor,1863.0,-0.1,+16
21,Arizona State,1860.0,-0.0,+35
22,Duke,1859.0,-0.0,-22
23,Memphis,1858.0,-0.2,+0
24,Iowa,1854.0,-0.1,+13
25,Oklahoma,1852.0,-0.1,+2
26,Texas A&M,1850.0,-0.0,+28
27,Rutgers,1850.0,-0.1,+0
28,Saint Mary's,1848.0,-0.1,+21
29,Arkansas,1846.0,-0.2,-50
30,Miami (FL),1841.0,-0.1,-9
31,Indiana,1839.0,-0.0,+27
32,Michigan State,1838.0,-0.0,+9
33,Creighton,1838.0,-0.0,+17
34,Boise State,1838.0,-0.2,+14
35,Arizona,1834.0,-0.1,-40
36,Wisconsin,1832.0,-0.0,-51
37,Kentucky,1831.0,-0.5,+6
38,Virginia Tech,1818.0,-0.2,+0
39,Ohio State,1813.0,-0.0,-36
40,Texas Tech,1813.0,-0.0,-34
41,NC State,1813.0,-0.6,+9
42,Penn State,1799.0,-0.0,+0
43,Michigan,1798.0,-0.0,-13
44,Seton Hall,1797.0,-0.2,+19
45,St. John's (NY),1792.0,-0.0,+13
46,Clemson,1791.0,-0.0,+22
47,Mississippi State,1790.0,-0.2,-9
48,West Virginia,1784.0,-0.0,-5
49,San Diego State,1783.0,-0.3,-36
50,Oklahoma State,1776.0,,-25
