Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2032.0,-1.5,+0
2,Baylor,1993.0,-1.9,+17
3,Houston,1945.0,-0.3,+17
4,Arizona,1937.0,-0.4,+43
5,Kentucky,1927.0,-0.3,+13
6,Villanova,1919.0,-0.3,+15
7,Auburn,1912.0,-0.1,+18
8,Kansas,1910.0,-0.3,-22
9,Purdue,1902.0,-0.1,-7
10,Iowa,1900.0,-0.1,+30
11,Tennessee,1898.0,-0.3,+12
12,Duke,1891.0,-0.2,-48
13,Illinois,1886.0,-0.0,+24
14,Arkansas,1885.0,-0.1,-7
15,Texas Tech,1882.0,-0.0,-7
16,Wisconsin,1881.0,-0.0,+10
17,UCLA,1880.0,-1.7,+19
18,Saint Mary's,1836.0,-0.2,+0
19,UConn,1832.0,-0.4,-3
20,Texas,1823.0,-0.2,-23
21,Providence,1818.0,-0.1,-5
22,UNC,1815.0,-0.0,+64
23,San Diego State,1815.0,-0.0,+22
24,USC,1814.0,-0.3,-48
25,Memphis,1807.0,-0.5,+16
26,Michigan,1793.0,-0.0,-28
27,Loyola (IL),1792.0,-0.1,+41
28,Boise State,1790.0,-0.4,-7
29,Oklahoma State,1781.0,-0.2,+46
30,Seton Hall,1777.0,-0.1,+21
31,Ohio State,1775.0,-0.1,-78
32,Rutgers,1772.0,-0.2,+14
33,Colorado State,1766.0,-0.0,+10
34,Dayton,1766.0,-0.1,+23
35,LSU,1764.0,-0.0,+6
36,Murray State,1764.0,-0.0,+10
37,Notre Dame,1763.0,-0.0,-12
38,North Texas,1763.0,-0.0,-17
39,Marquette,1762.0,-0.0,-20
40,Davidson,1762.0,-0.0,-7
41,San Francisco,1761.0,-0.2,+23
42,Miami (FL),1757.0,-0.0,+23
43,VCU,1756.0,-0.0,+9
44,SMU,1755.0,-0.0,-3
45,Alabama,1755.0,-0.2,-75
46,Oklahoma,1749.0,-0.2,+31
47,Toledo,1744.0,-0.2,+37
48,Colorado,1740.0,-0.0,+15
49,Virginia,1740.0,-0.0,+13
50,Wake Forest,1739.0,,+11
