Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Iowa State,2037.0,-0.2,+11
2,Auburn,2032.0,-0.9,+15
3,Alabama,2010.0,-1.2,+38
4,Houston,1980.0,-0.2,+23
5,Florida,1975.0,-0.1,+49
6,UConn,1973.0,-0.0,-9
7,Duke,1973.0,-0.2,+19
8,Purdue,1967.0,-0.3,+37
9,Marquette,1959.0,-0.1,+4
10,Michigan State,1957.0,-0.3,+28
11,Tennessee,1949.0,-0.8,-28
12,Kansas,1930.0,-0.6,+36
13,Illinois,1916.0,-0.3,-46
14,St. John's (NY),1908.0,-0.3,+26
15,Texas A&M,1901.0,-0.1,-7
16,Wisconsin,1899.0,-0.0,+22
17,Mississippi State,1898.0,-0.8,-9
18,Gonzaga,1879.0,-0.0,+11
19,Michigan,1878.0,-0.1,+48
20,Utah State,1876.0,-0.1,+9
21,Baylor,1873.0,-0.1,+37
22,Arizona,1870.0,-0.1,+43
23,Texas Tech,1867.0,-0.1,+11
24,Oregon,1865.0,-0.7,+23
25,Kentucky,1848.0,-0.8,+4
26,Nebraska,1829.0,-0.1,-48
27,Iowa,1827.0,-0.0,+54
28,Ole Miss,1826.0,-0.0,+30
29,San Diego State,1825.0,-0.1,-25
30,Saint Mary's,1823.0,-0.2,+17
31,UNC,1817.0,-0.0,+29
32,Georgia,1816.0,-0.1,+43
33,Memphis,1813.0,-0.2,+2
34,New Mexico,1808.0,-0.2,+40
35,Ohio State,1803.0,-0.1,-7
36,Oklahoma,1801.0,-0.0,-29
37,Maryland,1800.0,-0.3,+21
38,Texas,1793.0,-0.1,-21
39,Pitt,1790.0,-0.1,-40
40,Northwestern,1787.0,-0.0,-19
41,Creighton,1786.0,-0.2,+12
42,Louisville,1782.0,-0.3,+30
43,Indiana,1775.0,-0.0,-15
44,Wake Forest,1775.0,-0.0,+9
45,USC,1775.0,-0.2,+48
46,Villanova,1771.0,-0.1,+8
47,BYU,1768.0,-0.1,-33
48,Penn State,1766.0,-0.3,-26
49,Boise State,1758.0,-0.1,+16
50,VCU,1756.0,,+4
