Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Auburn,2013.0,-0.5,+0
2,Iowa State,2001.0,-1.1,+0
3,UConn,1974.0,-0.3,+0
4,Tennessee,1966.0,-0.5,+3
5,Alabama,1954.0,-0.3,+4
6,Florida,1946.0,-0.7,+1
7,Marquette,1928.0,-0.2,+0
8,Houston,1924.0,-0.3,+0
9,Duke,1917.0,-0.3,+0
10,Michigan State,1909.0,-0.4,+0
11,Purdue,1899.0,-0.1,+2
12,Oregon,1897.0,-0.2,+3
13,Illinois,1892.0,-0.1,+1
14,Texas A&M,1889.0,-0.0,+4
15,St. John's (NY),1888.0,-0.1,+2
16,Mississippi State,1885.0,-0.8,+0
17,Nebraska,1864.0,-0.4,+22
18,Utah State,1853.0,-0.0,+13
19,Wisconsin,1852.0,-0.2,+0
20,Oklahoma,1848.0,-0.2,+0
21,Gonzaga,1843.0,-0.2,-16
22,Texas Tech,1839.0,-0.0,+0
23,Cincinnati,1839.0,-0.1,+0
24,Kansas,1836.0,-0.1,+0
25,Texas,1833.0,-0.0,+2
26,Northwestern,1832.0,-0.1,+5
27,Ohio State,1829.0,-0.0,+9
28,San Diego State,1828.0,-0.0,-13
29,Baylor,1827.0,-0.0,+0
30,Colorado,1826.0,-0.3,+0
31,Pitt,1818.0,-0.1,+0
32,Kentucky,1816.0,-0.0,+0
33,Dayton,1816.0,-0.1,+0
34,UNC,1813.0,-0.2,+2
35,Maryland,1809.0,-0.0,+1
36,UCLA,1809.0,-0.0,+16
37,Penn State,1808.0,-0.2,+2
38,Michigan,1802.0,-0.1,+19
39,BYU,1800.0,-0.2,+0
40,Iowa,1796.0,-0.0,+0
41,Drake,1795.0,-0.0,+10
42,Arizona,1795.0,-0.0,+0
43,Saint Mary's,1794.0,-0.1,+1
44,Georgia,1792.0,-0.2,+1
45,South Carolina,1787.0,-0.1,+0
46,SMU,1785.0,-0.3,+6
47,Ole Miss,1777.0,-0.0,-31
48,NC State,1777.0,-0.3,+0
49,Creighton,1770.0,-0.4,+0
50,Memphis,1760.0,,+31
