Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Houston,1982.0,-0.3,+8
2,Purdue,1974.0,-0.2,+21
3,Kansas,1969.0,-1.3,+9
4,Gonzaga,1936.0,-0.4,-15
5,Tennessee,1927.0,-1.0,+0
6,Duke,1901.0,-0.2,-7
7,UConn,1896.0,-0.6,+21
8,Arizona,1881.0,-0.3,-73
9,Arkansas,1873.0,-0.0,+6
10,Iowa,1872.0,-0.2,+3
11,Auburn,1868.0,-0.2,+12
12,UCLA,1864.0,-0.4,+13
13,Texas Tech,1855.0,-0.1,+2
14,Illinois,1852.0,-0.0,-6
15,Baylor,1852.0,-0.2,-36
16,Memphis,1847.0,-0.2,+9
17,UNC,1842.0,-0.5,-41
18,Kentucky,1830.0,-0.1,+3
19,Creighton,1828.0,-0.0,-13
20,Boise State,1827.0,-0.3,+39
21,Wisconsin,1820.0,-0.1,-8
22,Texas,1818.0,-0.0,+13
23,Miami (FL),1818.0,-0.2,+17
24,Virginia,1812.0,-0.1,+14
25,San Diego State,1809.0,-0.1,+3
26,Oklahoma,1807.0,-0.2,-10
27,Virginia Tech,1801.0,-0.1,+4
28,Saint Mary's,1799.0,-0.1,-40
29,Maryland,1797.0,-0.5,+31
30,Ohio State,1783.0,-0.0,-8
31,St. John's (NY),1782.0,-0.1,+2
32,TCU,1780.0,-0.1,+19
33,Alabama,1777.0,-0.4,+21
34,Villanova,1766.0,-0.0,-13
35,LSU,1766.0,-0.0,+4
36,Marquette,1765.0,-0.3,+38
37,Indiana,1757.0,-0.0,+1
38,Colorado,1756.0,-0.0,-11
39,Providence,1756.0,-0.0,-9
40,Texas A&M,1755.0,-0.1,-29
41,Arizona State,1752.0,-0.0,+18
42,Michigan,1751.0,-0.0,-13
43,Oklahoma State,1750.0,-0.1,-4
44,Notre Dame,1748.0,-0.2,+7
45,San Francisco,1744.0,-0.1,+2
46,Rutgers,1741.0,-0.0,+19
47,Michigan State,1740.0,-0.0,-23
48,Mississippi State,1739.0,-0.2,+2
49,Iowa State,1734.0,-0.0,-11
50,UAB,1733.0,,+10
