Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2002.0,-1.4,-91
2,Texas,1968.0,-0.5,-52
3,Houston,1955.0,-0.5,-42
4,Alabama,1942.0,-0.2,-70
5,Kansas,1936.0,-0.3,-35
6,Marquette,1928.0,-0.4,-56
7,UCLA,1919.0,-0.4,-88
8,Miami (FL),1908.0,-0.8,-60
9,Purdue,1887.0,-0.2,-19
10,Baylor,1882.0,-0.1,+7
11,Tennessee,1880.0,-0.2,-11
12,Memphis,1875.0,-0.0,-59
13,Creighton,1874.0,-0.0,-33
14,Xavier,1873.0,-0.0,-34
15,Gonzaga,1872.0,-0.0,-106
16,Texas A&M,1872.0,-0.5,-20
17,Arizona,1860.0,-0.2,-28
18,Kansas State,1856.0,-0.0,-57
19,Penn State,1856.0,-0.1,-18
20,Duke,1854.0,-0.1,-85
21,TCU,1852.0,-0.0,+1
22,Michigan,1852.0,-0.2,-3
23,Iowa,1847.0,-0.1,-12
24,Indiana,1844.0,-0.0,-13
25,Kentucky,1843.0,-0.3,-26
26,Virginia,1836.0,-0.0,-26
27,San Diego State,1835.0,-0.1,-106
28,Michigan State,1833.0,-0.0,-60
29,Northwestern,1833.0,-0.3,-1
30,UNC,1826.0,-0.0,-35
31,USC,1826.0,-0.0,+7
32,Texas Tech,1825.0,-0.1,+21
33,Oklahoma,1823.0,-0.0,+13
34,Seton Hall,1822.0,-0.0,-9
35,Florida Atlantic,1821.0,-0.2,-73
36,Arkansas,1817.0,-0.2,-16
37,Iowa State,1813.0,-0.1,+21
38,Mississippi State,1811.0,-0.1,+15
39,Illinois,1809.0,-0.2,+4
40,Cincinnati,1804.0,-0.0,+33
41,Auburn,1803.0,-0.2,-36
42,Villanova,1797.0,-0.2,-3
43,Wisconsin,1792.0,-0.2,-27
44,North Texas,1788.0,-0.1,-60
45,Maryland,1785.0,-0.0,-46
46,Nebraska,1785.0,-0.0,+13
47,Providence,1785.0,-0.2,+4
48,Oregon,1781.0,-0.2,-8
49,Pitt,1776.0,-0.2,-11
50,NC State,1771.0,,-5
