Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2037.0,-2.6,-148
2,Purdue,1973.0,-1.0,-104
3,Iowa State,1948.0,-0.5,-84
4,Auburn,1935.0,-0.7,-42
5,Illinois,1918.0,-0.0,-73
6,Houston,1918.0,-1.0,-103
7,Tennessee,1893.0,-0.6,-50
8,Marquette,1879.0,-0.2,-43
9,Creighton,1875.0,-0.2,-57
10,Arizona,1870.0,-0.0,-33
11,Alabama,1869.0,-0.7,-43
12,Gonzaga,1851.0,-0.1,-75
13,Duke,1849.0,-0.0,-78
14,St. John's (NY),1848.0,-0.2,-30
15,UNC,1844.0,-0.1,-97
16,Ohio State,1842.0,-0.0,+12
17,Florida,1842.0,-0.0,-26
18,Colorado,1842.0,-0.2,-16
19,Kentucky,1837.0,-0.2,-26
20,NC State,1832.0,-0.1,-69
21,Texas Tech,1830.0,-0.0,-13
22,Michigan State,1829.0,-0.2,-15
23,Wisconsin,1824.0,-0.0,-5
24,Oregon,1823.0,-0.1,-9
25,BYU,1821.0,-0.0,-7
26,Nebraska,1821.0,-0.1,-20
27,Kansas,1819.0,-0.2,+10
28,Texas A&M,1815.0,-0.2,-47
29,Cincinnati,1809.0,-0.2,+4
30,Texas,1803.0,-0.0,-65
31,Mississippi State,1803.0,-0.0,-13
32,Baylor,1802.0,-0.0,-60
33,Northwestern,1801.0,-0.0,-32
34,San Diego State,1800.0,-0.1,-65
35,Nevada,1798.0,-0.2,-33
36,Seton Hall,1794.0,-0.1,-55
37,Pitt,1792.0,-0.1,-36
38,TCU,1789.0,-0.2,+11
39,Iowa,1784.0,-0.0,+3
40,Utah,1783.0,-0.0,+17
41,Utah State,1783.0,-0.0,-31
42,Kansas State,1782.0,-0.4,+16
43,Oklahoma,1771.0,-0.2,-1
44,UCF,1767.0,-0.0,+42
45,Indiana,1766.0,-0.0,+16
46,Penn State,1766.0,-0.0,+26
47,New Mexico,1765.0,-0.1,-25
48,USC,1762.0,-0.0,+28
49,Saint Mary's,1761.0,-0.1,-89
50,Providence,1758.0,,+10
