Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UConn,2007.0,-1.2,-15
2,Houston,1978.0,-1.3,+13
3,Texas,1945.0,-0.1,+2
4,Kansas,1942.0,-0.7,+15
5,Marquette,1925.0,-0.0,-29
6,Purdue,1924.0,-0.4,-17
7,Miami (FL),1913.0,-0.2,+3
8,Alabama,1908.0,-0.4,+0
9,Creighton,1897.0,-0.2,+80
10,Baylor,1893.0,-0.5,+2
11,Gonzaga,1880.0,-0.0,+19
12,Arizona,1880.0,-0.3,+4
13,UCLA,1872.0,-0.3,+1
14,Oklahoma,1865.0,-0.2,+1
15,San Diego State,1860.0,-0.1,+1
16,UNC,1857.0,-0.0,+20
17,TCU,1857.0,-0.0,+4
18,Wisconsin,1856.0,-0.1,+30
19,Ohio State,1853.0,-0.0,+7
20,Kansas State,1852.0,-0.1,+1
21,Texas A&M,1849.0,-0.2,-26
22,Florida Atlantic,1843.0,-0.0,+28
23,Indiana,1843.0,-0.2,+13
24,Tennessee,1838.0,-0.0,-16
25,BYU,1837.0,-0.1,+10
26,Northwestern,1834.0,-0.1,+23
27,Iowa,1832.0,-0.0,+2
28,Illinois,1831.0,-0.0,+35
29,Cincinnati,1831.0,-0.2,+3
30,Virginia,1827.0,-0.0,+38
31,Memphis,1826.0,-0.0,-18
32,Duke,1825.0,-0.4,-41
33,Utah State,1814.0,-0.3,+7
34,Mississippi State,1806.0,-0.0,-44
35,Michigan State,1805.0,-0.0,+0
36,Providence,1805.0,-0.1,+3
37,Auburn,1802.0,-0.0,-15
38,Texas Tech,1801.0,-0.0,-21
39,Iowa State,1801.0,-0.3,+12
40,Xavier,1793.0,-0.6,-52
41,NC State,1779.0,-0.1,+19
42,Kentucky,1777.0,-0.1,-57
43,Colorado State,1775.0,-0.1,+20
44,Seton Hall,1772.0,-0.4,+3
45,Nebraska,1761.0,-0.0,-53
46,USC,1761.0,-0.1,-12
47,Villanova,1758.0,-0.0,-110
48,St. John's (NY),1758.0,-0.0,+21
49,North Texas,1757.0,-0.0,+1
50,Arkansas,1757.0,,+19
