Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2074.0,-0.5,-64
2,Baylor,2061.0,-3.9,-62
3,Illinois,1958.0,-1.1,-49
4,Michigan,1929.0,-0.2,-48
5,Houston,1925.0,-0.7,-45
6,Alabama,1907.0,-1.2,-34
7,USC,1876.0,-0.2,-40
8,Loyola (IL),1872.0,-0.0,-39
9,Iowa,1872.0,-0.3,-39
10,Arkansas,1864.0,-0.0,-37
11,Kansas,1863.0,-0.2,-14
12,Florida State,1857.0,-0.2,-40
13,Oklahoma State,1851.0,-0.0,-35
14,Texas,1850.0,-0.1,-38
15,Villanova,1847.0,-0.2,-35
16,UCLA,1842.0,-0.0,-33
17,Ohio State,1841.0,-0.2,-35
18,San Diego State,1837.0,-0.1,-34
19,Memphis,1835.0,-0.4,-36
20,LSU,1824.0,-0.2,-32
21,West Virginia,1819.0,-0.0,-34
22,Creighton,1818.0,-0.1,-35
23,Oregon,1815.0,-0.1,-31
24,Syracuse,1812.0,-0.2,-31
25,UConn,1808.0,,-33
