Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Gonzaga,2047.0,-3.2,+16
2,Arizona,1964.0,-0.1,+27
3,Baylor,1962.0,-0.5,-31
4,Kansas,1950.0,-0.4,+40
5,Villanova,1941.0,-0.5,+22
6,Tennessee,1927.0,-0.0,+28
7,Houston,1926.0,-0.2,-19
8,Iowa,1922.0,-0.3,+22
9,Purdue,1915.0,-0.1,+13
10,Kentucky,1912.0,-0.9,-15
11,UCLA,1889.0,-0.1,+9
12,Texas Tech,1886.0,-0.1,+4
13,Auburn,1884.0,-0.3,-29
14,Illinois,1876.0,-0.4,-10
15,Duke,1867.0,-0.2,-24
16,Memphis,1861.0,-0.5,+54
17,Arkansas,1847.0,-0.3,-37
18,UConn,1840.0,-0.3,+8
19,Wisconsin,1833.0,-0.1,-48
20,Virginia Tech,1831.0,-0.0,+98
21,Saint Mary's,1831.0,-0.3,-5
22,San Diego State,1824.0,-0.4,+9
23,Boise State,1814.0,-0.3,+24
24,UNC,1806.0,-0.1,-9
25,Loyola (IL),1804.0,-0.0,+11
26,USC,1804.0,-0.1,-10
27,Texas,1801.0,-0.0,-22
28,Creighton,1800.0,-0.4,+63
29,Davidson,1791.0,-0.0,+29
30,Michigan,1791.0,-0.4,-2
31,Texas A&M,1782.0,-0.0,+93
32,Oklahoma State,1781.0,-0.2,+0
33,Oklahoma,1775.0,-0.0,+26
34,Providence,1775.0,-0.0,-43
35,Michigan State,1774.0,-0.4,+37
36,Murray State,1764.0,-0.0,+0
37,Rutgers,1763.0,-0.1,-10
38,Seton Hall,1761.0,-0.0,-15
39,Colorado State,1760.0,-0.0,-6
40,SMU,1759.0,-0.0,+4
41,LSU,1758.0,-0.1,-7
42,San Francisco,1755.0,-0.0,-6
43,Miami (FL),1754.0,-0.1,-3
44,Dayton,1751.0,-0.2,-14
45,North Texas,1747.0,-0.0,-16
46,Colorado,1746.0,-0.0,+6
47,UAB,1745.0,-0.0,+39
48,Notre Dame,1744.0,-0.2,-19
49,Vermont,1739.0,-0.0,+24
50,Marquette,1738.0,,-24
