Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,Kansas,2022.0,-1.4,+19
2,Gonzaga,1986.0,-0.7,+8
3,Houston,1968.0,-0.2,+5
4,Purdue,1963.0,-0.4,-15
5,UCLA,1952.0,-0.5,+19
6,Tennessee,1940.0,-2.4,+26
7,UConn,1878.0,-0.4,-15
8,Arkansas,1868.0,-0.2,-26
9,Marquette,1863.0,-0.2,+24
10,Arizona,1859.0,-0.3,-76
11,Alabama,1851.0,-0.1,+38
12,UNC,1849.0,-0.1,+16
13,Providence,1847.0,-0.2,+43
14,Memphis,1843.0,-0.0,-33
15,Duke,1842.0,-0.2,-63
16,Saint Mary's,1836.0,-0.5,+6
17,Wisconsin,1822.0,-0.0,-25
18,San Diego State,1821.0,-0.0,+7
19,Boise State,1820.0,-0.3,+22
20,TCU,1813.0,-0.0,-4
21,Xavier,1813.0,-0.2,+25
22,Auburn,1807.0,-0.1,-21
23,Iowa State,1805.0,-0.2,+34
24,Texas,1801.0,-0.0,-15
25,Virginia,1801.0,-0.1,-12
26,Miami (FL),1799.0,-0.0,-35
27,Kentucky,1798.0,-0.0,-22
28,Baylor,1798.0,-0.1,-29
29,Texas Tech,1795.0,-0.2,-34
30,Kansas State,1791.0,-0.0,+62
31,Iowa,1790.0,-0.0,-6
32,Ohio State,1789.0,-0.1,+17
33,Oklahoma,1786.0,-0.0,+8
34,Rutgers,1785.0,-0.0,+38
35,Texas A&M,1784.0,-0.1,+30
36,Arizona State,1781.0,-0.1,+6
37,Virginia Tech,1779.0,-0.4,-49
38,Creighton,1768.0,-0.1,+13
39,Michigan State,1766.0,-0.2,+30
40,North Texas,1762.0,-0.2,+20
41,Colorado,1758.0,-0.1,+29
42,Michigan,1756.0,-0.1,+43
43,Mississippi State,1753.0,-0.0,-8
44,Illinois,1752.0,-0.1,-6
45,NC State,1749.0,-0.0,+90
46,Oklahoma State,1749.0,-0.0,-19
47,Indiana,1748.0,-0.2,-7
48,Villanova,1744.0,-0.2,-19
49,LSU,1740.0,-0.4,-25
50,College of Charleston,1731.0,,+12
