Rank,Team,Elo Rating,Point Spread vs. Next Rank,550 Day Change
1,Gonzaga,2055.0,-3.5,-42
2,Baylor,1966.0,-0.2,-121
3,Houston,1961.0,-1.4,+15
4,Kentucky,1925.0,-0.1,+193
5,Arizona,1923.0,-0.3,+197
6,Kansas,1916.0,-0.2,+66
7,Auburn,1910.0,-0.1,+206
8,Purdue,1908.0,-0.4,+104
9,Duke,1899.0,-0.1,+102
10,Villanova,1896.0,-0.3,+38
11,Illinois,1889.0,-0.9,-87
12,UCLA,1867.0,-0.4,+15
13,Wisconsin,1858.0,-0.1,+53
14,Texas,1855.0,-0.2,-4
15,Tennessee,1851.0,-0.2,+98
16,Texas Tech,1845.0,-0.1,+33
17,Arkansas,1843.0,-0.2,-33
18,USC,1838.0,-0.2,-53
19,Michigan,1834.0,-0.2,-112
20,Ohio State,1830.0,-0.1,-18
21,Iowa,1827.0,-0.5,-56
22,Alabama,1813.0,-0.2,-102
23,Marquette,1807.0,-0.1,+115
24,Oregon,1804.0,-0.2,-20
25,Providence,1800.0,-0.1,+112
26,UConn,1797.0,-0.3,-15
27,Michigan State,1790.0,-0.4,+51
28,Loyola (IL),1781.0,-0.1,-112
29,Saint Mary's,1778.0,-0.2,+82
30,Boise State,1772.0,-0.2,+93
31,Davidson,1768.0,-0.2,+94
32,Oklahoma,1764.0,-0.0,+2
33,San Diego State,1764.0,-0.0,-87
34,Xavier,1763.0,-0.2,+52
35,LSU,1759.0,-0.0,-73
36,Wake Forest,1758.0,-0.4,+284
37,Memphis,1748.0,-0.0,-103
38,Virginia,1747.0,-0.1,-107
39,UNC,1745.0,-0.2,-48
40,Toledo,1740.0,-0.0,+97
41,SMU,1740.0,-0.0,+57
42,Dayton,1740.0,-0.0,+37
43,Colorado State,1739.0,-0.1,+47
44,Notre Dame,1737.0,-0.0,+79
45,North Texas,1736.0,-0.1,+57
46,Rutgers,1733.0,-0.1,-4
47,West Virginia,1730.0,-0.0,-96
48,Oklahoma State,1729.0,-0.0,-127
49,Ohio,1728.0,-0.0,+36
50,BYU,1727.0,,-82
