Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1111,717,V,Evansville,27,20,47,135.5,141,2500,74.5
1111,718,H,Louisville,43,35,78,17,22.5,-5000,8.5
1111,719,V,Georgia,30,34,64,132.5,139.5,180,0.5
1111,720,H,Clemson,40,34,74,6,5,-210,74
1111,721,V,GeorgiaSouthern,36,43,79,146,158,800,82.5
1111,722,H,NCState,37,44,81,11.5,14,-1400,8
1111,723,V,BowlingGreen,29,41,70,151,155,330,79.5
1111,724,H,Oakland,35,43,78,9,9,-400,3.5
1111,725,V,JamesMadison,31,24,55,130.5,126,170,67.5
1111,726,H,OldDominion,30,32,62,5,4.5,-190,3.5
1111,727,V,Dartmouth,26,35,61,135.5,139.5,1625,73.5
1111,728,H,RhodeIsland,39,45,84,17.5,18.5,-3250,6.5
1111,729,V,CoastalCarolina,33,20,53,132.5,135.5,700,72
1111,730,H,Alabama,27,43,70,13,12.5,-1100,9.5
1111,731,V,EasternMichigan,31,41,90,144.5,153.5,575,81.5
1111,732,H,Pittsburgh,40,32,93,12,11.5,-850,4.5
1111,733,V,LouisianaTech,31,45,76,148.5,154,425,81
1111,734,H,SouthCarolina,42,43,85,12,9.5,-550,3
1111,735,V,LaSalle,39,42,92,134.5,2,-140,3
1111,736,H,Temple,42,39,97,4,139,120,79
1111,737,V,Brown,25,30,55,137.5,144,2625,76
1111,738,H,Cincinnati,43,41,84,21,23,-5500,8.5
1111,739,V,IndianaState,29,43,78,135,144.5,235,76
1111,740,H,NoIllinois,36,36,80,6,6.5,-275,2
1111,741,V,WrightState,31,54,85,136.5,144.5,200,76.5
1111,742,H,SoIllinois,35,46,81,4.5,5.5,-240,2
1111,743,V,BallState,43,42,85,2.5,3.5,-165,73
1111,744,H,SaintLouis,19,45,64,132,137.5,145,3.5
1111,745,V,ULLafayette,26,48,74,148,153,350,80.5
1111,746,H,MinnesotaU,48,38,86,8,8.5,-420,1.5
1111,747,V,Pacific,39,41,80,146,156.5,1300,82.5
1111,748,H,UCLA,63,56,119,18.5,17,-2150,5
1111,749,V,NorthCarolina,46,49,95,21,20.5,-4500,8.5
1111,750,H,Tulane,32,43,75,145,155.5,2250,81
1111,751,V,TexSanAntonio,23,43,66,145,145.5,1050,76.5
1111,752,H,FresnoState,28,41,69,14.5,15,-1600,7.5
1111,753,V,UtahState,40,32,72,140,149.5,175,75
1111,754,H,CalIrvine,24,32,56,5,4.5,-200,4.5
1111,755,V,SouthAlabama,34,42,76,139.5,143.5,225,75.5
1111,756,H,UNLV,30,38,68,7,6,-265,5.5
1111,757,V,CalRiverside,24,31,55,144.5,147.5,260,76
1111,758,H,PortlandU,33,38,71,6.5,7,-310,2
1111,759,V,CalPolySLO,31,37,68,137,139,340,74.5
1111,760,H,Pepperdine,39,38,77,8,8.5,-410,3
1111,761,V,Nevada,29,34,63,137.5,145,525,75.5
1111,762,H,SaintMarysCA,42,39,81,12.5,11.5,-750,3.5
1111,763,V,SanDiego,33,26,59,127,126,1750,67.5
1111,764,H,SanDiegoState,35,34,69,21,19.5,-3500,9.5
1111,765,V,IllinoisChicago,37,43,80,144.5,145.5,190,81.5
1111,766,H,SanFrancisco,48,34,82,4.5,5,-220,pk
1111,767,V,Harvard,28,42,70,136.5,139.5,150,72
1111,768,H,Stanford,30,50,80,4,3.5,-170,1.5
1111,769,N,Vanderbilt,40,31,71,2.5,150,115,80.5
1111,770,N,Marquette,39,56,95,145,1.5,-135,2.5
1111,771,V,OhioState,33,45,78,14,16.5,-1800,8
1111,772,H,Navy,28,40,68,132,136,1150,72.5
1111,773,N,MichiganState,30,33,63,1.5,1,-120,2
1111,774,N,Arizona,34,31,65,144,144,100,76
1111,775,N,IndianaU,42,47,103,149.5,153.5,200,83
1111,776,N,Kansas,46,43,99,7,6,-240,2.5
1111,777,N,TexasState,24,37,61,1,136.5,-110,pk
1111,778,N,FlaAtlantic,26,31,57,131,pk,-110,71
1111,779,V,SIUEdwardsville,36,33,69,138.5,137.5,475,75.5
1111,780,H,Hawaii,38,30,68,11,10.5,-650,7
1111,781,N,TennesseeState,29,49,78,5.5,4.5,-190,2
1111,782,N,UCDavis,26,38,64,134,136.5,170,74
1111,783,V,NorthernArizona,26,38,64,142.5,146,650,76.5
1111,784,H,SantaClara,28,39,67,13.5,12.5,-1000,6.5
1111,785,V,IPFW,45,38,83,150.5,157,850,85
1111,786,H,Arkansas,51,41,92,12,15,-1400,7.5
1111,787,V,OralRoberts,31,30,61,143.5,146.5,1200,77.5
1111,788,H,Baylor,38,38,76,16.5,17,-2000,8
1111,789,V,IUPUI,28,59,87,147.5,156,-110,3.5
1111,790,H,EasternKentucky,42,55,97,1,pk,-110,81.5
1111,791,V,TheCitadel,26,42,68,150.5,170.5,2500,85
1111,792,H,CollCharleston,32,49,81,19.5,22,-5000,10
1111,793,V,AustinPeay,27,41,68,143.5,151.5,1750,79.5
1111,794,H,Dayton,44,52,96,20.5,19,-3500,7
1111,795,V,Marist,28,21,49,154,160.5,13000,83.5
1111,796,H,Duke,54,40,94,26.5,30.5,-39000,11.5
1111,797,V,WesternCarolina,18,25,43,139,142,2500,74
1111,798,H,MiamiFlorida,41,51,92,23,22.5,-5000,7.5
1111,799,V,TennesseeChat,34,48,82,143,151,145,79
1111,800,H,Tennessee,29,40,69,4,3,-165,3.5
1111,801,V,MontanaState,21,44,65,149,157.5,375,80
1111,802,H,WashingtonState,31,38,69,9.5,9.5,-470,3.5
1111,803,V,Drexel,32,33,65,148,150.5,2000,78.5
1111,804,H,Monmouth,47,31,78,17,19.5,-4000,7
1111,805,V,VMI,22,47,69,146.5,146.5,1300,75
1111,806,H,Richmond,25,47,72,16,16.5,-2150,8.5
1111,807,V,Fordham,37,22,59,144,154,210,81.5
1111,808,H,ETennesseeSt,47,49,96,4.5,6,-250,1
1111,809,V,Virginia,42,34,76,16,14,-1350,3.5
1111,810,H,NCGreensboro,17,34,51,133,136,885,71
1111,811,V,TennesseeTech,27,28,55,150,150,265,76.5
1111,812,H,GeorgiaTech,30,40,70,12,7,-325,3.5
1111,813,V,Buffalo,31,45,76,5.5,6,-255,5
1111,814,H,Niagara,33,33,66,143.5,146.5,215,77
1111,815,V,IllinoisState,32,38,70,135,2,-135,76
1111,816,H,MurrayState,29,44,73,1,145,115,pk
1111,817,V,TennMartin,42,41,83,144.5,149.5,1300,80
1111,818,H,Mississippi,39,47,86,15.5,17.5,-2150,11
1111,819,V,ArkansasState,34,32,66,136.5,141,650,76
1111,820,H,NDakotaSt,40,36,76,13.5,13,-1000,6.5
1111,821,V,SouthDakota,39,40,79,142.5,145.5,170,79
1111,822,H,Drake,45,29,74,6.5,4.5,-200,1.5
1111,823,V,SouthernUtah,28,37,65,146,152,2750,79.5
1111,824,H,Valparaiso,40,39,79,23,23,-6000,10.5
1111,825,V,JacksonvilleSt,38,46,84,138.5,140,600,73.5
1111,826,H,Tulsa,28,45,73,13,12.5,-900,9
1111,827,V,SEMissouriSt,31,31,62,144,152,3500,80
1111,828,H,Illinois,37,44,81,21.5,24,-8500,11.5
1111,829,V,WesternIllinois,21,34,55,138,138.5,1625,72.5
1111,830,H,KansasState,35,47,82,17.5,18.5,-3250,7
1111,831,V,SacramentoState,19,34,53,141.5,146,2125,75.5
1111,832,H,Colorado,42,48,90,20,20.5,-4250,7
1111,833,V,PortlandState,30,40,70,149.5,155,1450,81.5
1111,834,H,ArizonaState,44,44,88,17.5,17.5,-2750,6
1111,835,V,SouthDakotaSt,28,25,53,140,143.5,600,76
1111,836,H,California,40,42,82,12.5,11.5,-900,4
1111,837,V,IdahoState,38,32,70,147.5,153.5,1300,80.5
1111,838,H,NewMexico,32,49,81,15,17.5,-2150,11
1111,839,V,Montana,30,31,61,145.5,154,500,78
1111,840,H,USC,34,41,75,10.5,11,-700,5.5
1111,841,V,Lafayette,17,31,48,149.5,149.5,NL,78
1111,842,H,Villanova,49,39,88,32,34,NL,11.5
1111,843,V,StephenF.Austin,32,32,64,143,144,2250,77.5
1111,844,H,Kentucky,48,39,87,19.5,22,-4500,9
