team,four,final,champion
Houston,0.5552,0.3302,0.2173
Kansas,0.7012,0.3391,0.2079
Villanova,0.4448,0.2449,0.153
UNC,0.7863,0.3866,0.1522
Duke,0.518,0.2924,0.1163
Arkansas,0.482,0.2744,0.1084
Miami (FL),0.2988,0.0858,0.037
St. Peter's,0.2137,0.0466,0.0079
