first,eight,four,final,champion
Butler,,,,
Providence,St. John's (NY),,,
St. John's (NY),Marquette,,,
St. John's (NY),Xavier,,,
Marquette,,,,
Marquette,Creighton,,,
Xavier,,,,
Xavier,UConn,,,
DePaul,,,,
Georgetown,,,,
Creighton,,,,
Creighton,,,,
Seton Hall,,,,
Villanova,,,,
UConn,,,,
UConn,,,,
