first,second,eight,four,final,champion
Cincinnati,Cincinnati,Iowa State,,,
Oklahoma State,Iowa State,BYU,,,
Iowa State,BYU,Colorado,,,
Iowa State,BYU,Houston,,,
BYU,Colorado,Baylor,,,
BYU,West Virginia,Texas Tech,,,
BYU,Houston,Kansas,,,
BYU,Houston,Arizona,,,
Colorado,Kansas State,,,,
TCU,Baylor,,,,
West Virginia,Texas Tech,,,,
West Virginia,Texas Tech,,,,
Houston,UCF,,,,
Houston,Kansas,,,,
Houston,Arizona,,,,
Houston,Arizona,,,,
Arizona State,,,,,
Kansas State,,,,,
Baylor,,,,,
Baylor,,,,,
Texas Tech,,,,,
Texas Tech,,,,,
Texas Tech,,,,,
Texas Tech,,,,,
UCF,,,,,
Utah,,,,,
Kansas,,,,,
Kansas,,,,,
Arizona,,,,,
Arizona,,,,,
Arizona,,,,,
Arizona,,,,,
