first,eight,four,final,champion
Drake,Drake,Drake,,
Drake,SIU-Edwardsville,Belmont,,
SIU-Edwardsville,Belmont,Bradley,,
Indiana State,Illinois State,Valparaiso,,
Belmont,Bradley,,,
Belmont,Murray State,,,
Illinois State,Northern Iowa,,,
Missouri State,Valparaiso,,,
Bradley,,,,
Bradley,,,,
Murray State,,,,
Evansville,,,,
Northern Iowa,,,,
Northern Iowa,,,,
UIC,,,,
Valparaiso,,,,
