first,eight,four,final,champion
Chattanooga,Chattanooga,,,
Chattanooga,Mercer,,,
Mercer,Samford,,,
Western Carolina,Furman,,,
Samford,UNC Greensboro,,,
Samford,VMI,,,
Furman,ETSU,,,
Furman,Wofford,,,
UNC Greensboro,,,,
UNC Greensboro,,,,
VMI,,,,
The Citadel,,,,
ETSU,,,,
ETSU,,,,
Wofford,,,,
Wofford,,,,
