team,four,final,champion
UConn (#1),0.6605,0.5388,0.358
Purdue (#2),0.6649,0.4587,0.251
Illinois (#5),0.3395,0.2354,0.1185
Duke (#7),0.6141,0.2503,0.0966
Tennessee (#8),0.3351,0.1724,0.0665
Alabama (#13),0.6017,0.1556,0.0569
NC State (#15),0.3859,0.1186,0.0331
Clemson (#29),0.3983,0.0702,0.0194
