team,second,sixteen,eight,four,final,champion
Alabama,0.9543,0.6925,0.4939,0.3435,0.2029,0.1164
Marquette,0.903,0.6554,0.4696,0.2855,0.1792,0.1007
Texas,0.9068,0.6008,0.4296,0.274,0.1601,0.0926
Houston,0.9279,0.6405,0.4514,0.2586,0.1428,0.0832
UCLA,0.8906,0.6674,0.4037,0.2341,0.1307,0.0741
Gonzaga,0.8717,0.6321,0.3618,0.2067,0.1195,0.0683
Kansas,0.9598,0.6901,0.4318,0.2364,0.1317,0.0678
Purdue,0.9723,0.5774,0.3572,0.2,0.1165,0.063
Duke,0.7971,0.5449,0.2765,0.1522,0.0822,0.0394
UConn,0.8221,0.5472,0.2893,0.146,0.0738,0.0368
Arizona,0.8931,0.5626,0.3297,0.1586,0.0715,0.0319
Xavier,0.8606,0.5547,0.223,0.1071,0.0478,0.0216
Memphis,0.6563,0.305,0.171,0.0875,0.0442,0.0213
Baylor,0.8289,0.4721,0.2482,0.1039,0.0468,0.0186
Texas A&M,0.6471,0.2728,0.1662,0.0822,0.0403,0.0183
Kansas State,0.8171,0.4682,0.1908,0.0797,0.0348,0.0141
San Diego State,0.661,0.3781,0.1486,0.074,0.0308,0.0121
Virginia,0.6963,0.3759,0.1426,0.0722,0.0275,0.0101
Miami (FL),0.5601,0.3146,0.1281,0.0535,0.0204,0.0094
Creighton,0.6212,0.3288,0.1564,0.0688,0.0269,0.0092
Tennessee,0.7823,0.3409,0.1255,0.0512,0.0201,0.0071
Kentucky,0.6047,0.3173,0.1204,0.0487,0.0221,0.007
Iowa,0.5709,0.2135,0.116,0.0452,0.0173,0.0062
Indiana,0.6846,0.3517,0.1405,0.057,0.0187,0.0061
West Virginia,0.5593,0.177,0.0969,0.0445,0.0168,0.0058
Utah State,0.5414,0.2362,0.1127,0.0405,0.0145,0.0048
TCU,0.6269,0.2287,0.0911,0.0345,0.0136,0.0046
Michigan State,0.5162,0.1695,0.0835,0.0297,0.0126,0.0043
Missouri,0.4586,0.1836,0.0808,0.0279,0.0104,0.0041
Iowa State,0.6014,0.2697,0.0852,0.0325,0.0103,0.0038
Drake,0.4399,0.2303,0.0783,0.0304,0.0112,0.0035
Saint Mary's,0.512,0.2056,0.0776,0.0283,0.0096,0.0034
VCU,0.488,0.1924,0.0658,0.0247,0.0088,0.0033
USC,0.4838,0.1514,0.0728,0.0267,0.01,0.0031
Penn State,0.3529,0.1102,0.053,0.0198,0.0056,0.0028
Illinois,0.5202,0.1649,0.0676,0.0239,0.0082,0.0026
Maryland,0.4407,0.1258,0.059,0.0256,0.007,0.0026
Florida Atlantic,0.3437,0.1165,0.0492,0.0178,0.0063,0.0024
Auburn,0.4291,0.1351,0.0589,0.0205,0.0074,0.0023
NC State,0.3788,0.1588,0.0607,0.0199,0.0055,0.002
Arkansas,0.4798,0.1409,0.0557,0.0197,0.0068,0.0018
Northwestern,0.5476,0.175,0.0642,0.0215,0.0058,0.0017
Providence,0.3953,0.1699,0.0505,0.0154,0.0041,0.0015
Boise State,0.4524,0.1305,0.0394,0.0114,0.0028,0.0013
Pitt,0.3986,0.1435,0.0351,0.0114,0.0022,0.0007
College of Charleston,0.339,0.1428,0.0353,0.012,0.0044,0.0007
Arizona State,0.3731,0.1001,0.0277,0.0081,0.0017,0.0007
Furman,0.3037,0.1032,0.0234,0.007,0.0019,0.0004
Kent State,0.3154,0.1034,0.0246,0.0063,0.0018,0.0002
Oral Roberts,0.2029,0.0756,0.0155,0.0032,0.0005,0.0001
Louisiana,0.2177,0.0386,0.0049,0.0005,0.0001,0.0001
Iona,0.1779,0.0548,0.0118,0.0028,0.0007,0.0001
UCSB,0.1711,0.0403,0.0087,0.001,0.0002,0.0
Grand Canyon,0.1283,0.0391,0.0081,0.0013,0.0001,0.0
Kennesaw State,0.1394,0.0321,0.0038,0.0008,0.0002,0.0
Howard,0.0402,0.0041,0.0004,0.0,0.0,0.0
Colgate,0.0932,0.0162,0.0041,0.0006,0.0,0.0
Princeton,0.1069,0.0176,0.0028,0.0005,0.0001,0.0
Fairleigh Dickinson,0.0277,0.0011,0.0002,0.0,0.0,0.0
Northern Kentucky,0.0721,0.0109,0.0022,0.0001,0.0,0.0
Texas A&M-Corpus Christi,0.0457,0.0047,0.0003,0.0001,0.0,0.0
Vermont,0.097,0.0237,0.0046,0.0003,0.0,0.0
Montana State,0.1829,0.0446,0.0078,0.0016,0.0001,0.0
UNC Asheville,0.1094,0.0271,0.004,0.0006,0.0001,0.0
