Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1105,601,V,Princeton,42,25,67,144.5,142.5,190,76.5
1105,602,H,Duquesne,37,57,94,5.5,5.5,-240,4
1105,603,V,Louisville,45,42,87,7,6,-280,1
1105,604,H,MiamiFlorida,26,48,74,146.5,145,230,77.5
1105,605,V,Pennsylvania,35,46,81,146,153,275,82.5
1105,606,H,Alabama,35,45,80,7.5,7.5,-350,4.5
1105,607,V,AppalachianSt,25,46,71,142,148,1100,78.5
1105,608,H,Michigan,46,33,79,18.5,16.5,-2500,5
1105,609,V,VirginiaTech,34,33,67,132,128.5,250,70
1105,610,H,Clemson,37,23,60,4,7,-310,3.5
1105,611,V,VMI,38,30,68,151,150,325,79
1105,612,H,EastCarolina,36,44,80,8,8.5,-425,6
1105,613,V,WesternCarolina,38,34,72,151,158.5,1000,83
1105,614,H,Georgia,37,54,91,16.5,15.5,-2000,11
1105,615,V,WesternIllinois,25,40,65,143,143,1600,76.5
1105,616,H,IndianaU,46,52,98,21.5,21.5,-6000,8
1105,617,V,Bradley,45,36,81,3,5,-210,2.5
1105,618,H,St.Josephs,43,43,86,143.5,148,175,80.5
1105,619,V,Drexel,31,31,62,149,150,600,78.5
1105,620,H,Temple,31,39,70,13,12,-900,8
1105,621,V,GeoWashington,23,35,58,134,134,190,70.5
1105,622,H,Towson,32,40,72,6,5.5,-240,0.5
1105,623,V,Chattanooga,38,30,68,154.5,159.5,135,85
1105,624,H,EasternKentucky,33,46,79,4.5,3,-155,2
1105,625,V,Samford,30,40,86,4,4.5,-200,3
1105,626,H,MoreheadState,35,35,90,152.5,155,170,81
1105,627,V,Ohio,32,33,65,136,131.5,550,68.5
1105,628,H,St.Bonaventure,25,28,53,12,12,-800,9.5
1105,629,V,UCDavis,22,26,48,127,125,650,67
1105,630,H,LoyolaChicago,39,43,82,14,12.5,-1000,2.5
1105,631,V,UTRioGrandeValley,32,25,57,152.5,152.5,180,80
1105,632,H,SouthDakotaState,35,35,70,4.5,5,-220,2.5
1105,633,V,Rice,19,24,43,154.5,156.5,1400,80.5
1105,634,H,Arkansas,39,52,91,18,18.5,-4000,5.5
1105,635,V,ClevelandState,21,29,50,145,146,1600,76
1105,636,H,Minnesota,38,47,85,20.5,22,-6000,8
1105,637,V,FloridaIntl,30,39,69,156,159,1200,82
1105,638,H,MississippiSt,40,37,77,16.5,16,-3000,7
1105,639,V,ArkansasLR,33,34,67,127,141,650,74.5
1105,640,H,MissouriSt,39,27,66,13.5,12.5,-1000,5.5
1105,641,V,OldDominion,25,28,53,152,122.5,175,65
1105,642,H,NorthernIowa,26,32,58,5.5,4.5,-210,2.5
1105,643,V,TexSanAntonio,36,31,67,152,154,700,81
1105,644,H,Oklahoma,36,49,85,13.5,13,-1100,8.5
1105,645,V,JacksonvilleSt,24,41,65,140,140,650,72.5
1105,646,H,SMU,31,43,74,11.5,12.5,-1000,5.5
1105,647,V,NorthDakotaState,22,32,54,134,131.5,525,67.5
1105,648,H,KansasState,21,46,67,13,11,-750,8.5
1105,649,V,No.Colorado,15,30,45,137.5,134.5,1100,69
1105,650,H,Texas,34,35,69,16,16.5,-2500,6
1105,651,V,EasternIllinois,31,29,60,142,138,1500,75
1105,652,H,TexasTech,46,39,85,23,22,-5000,10.5
1105,653,V,Toledo,35,42,77,3.5,3,-155,3.5
1105,654,H,Valparaiso,39,40,79,138,135,135,74
