Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1108,525,V,Oklahoma,40,42,82,NL,NL,155,NL
1108,526,H,Alabama,41,32,73,5,4,-175,2.5
1108,527,V,TCU,29,32,61,NL,NL,400,NL
1108,528,H,SMU,30,39,69,9.5,9,-500,5
1108,529,V,Colorado,22,38,60,NL,NL,130,0.5
1108,530,H,Baylor,30,42,72,4.5,2.5,-150,NL
1108,531,V,BostonCollege,31,39,78,137,142.5,135,74.5
1108,532,H,Providence,27,43,82,4,3,-155,2.5
1108,533,V,Maryland,36,41,77,137,141.5,200,1
1108,534,H,Connecticut,48,30,78,5,5.5,-240,77
1108,535,V,Delaware,31,38,69,NL,NL,445,NL
1108,536,H,Richmond,32,39,71,9,10.5,-600,6
1108,537,V,IllinoisState,22,36,58,NL,NL,3250,NL
1108,538,H,VaCommonwealth,52,44,96,19,21,-7500,8.5
1108,539,V,Cornell,38,22,60,NL,NL,7500,NL
1108,540,H,Syracuse,32,50,82,23.5,25,-20000,14.5
1108,541,V,MissouriSt,30,33,79,NL,1.5,-130,0.5
1108,542,H,OldDominion,28,35,67,1,NL,110,NL
1108,543,V,MiamiOhio,32,30,62,NL,NL,2000,NL
1108,544,H,NotreDame,39,35,74,18.5,19.5,-4000,9.5
1108,545,V,Oregon,37,45,82,130,132,165,73
1108,546,H,Georgetown,34,41,75,3,4.5,-195,4
1108,547,V,Buffalo,31,27,58,NL,NL,220,NL
1108,548,H,TexasA&M,39,43,82,6.5,6,-260,2
1108,549,V,DetroitU,31,27,58,NL,NL,230,NL
1108,550,H,SouthAlabama,45,29,74,5,6.5,-270,1
1108,551,V,WiscMilwaukee,28,44,72,NL,NL,178,NL
1108,552,H,LoyolaChicago,28,48,76,7,5,-215,4
1108,553,V,JamesMadison,14,27,41,NL,NL,5000,NL
1108,554,H,Virginia,32,29,61,19.5,22.5,-12500,9.5
1108,555,V,ULMonroe,32,31,63,NL,NL,9000,NL
1108,556,H,Kansas,42,38,80,28,26,-25000,12
1108,557,V,St.Johns,23,52,75,128,NL,175,68.5
1108,558,H,Wisconsin,35,51,86,4.5,5,-210,0.5
1108,559,V,Troy,26,28,54,NL,NL,1000,NL
1108,560,H,Mississippi,39,30,69,16.5,15.5,-1500,6
1108,561,V,TexasState,41,29,70,NL,NL,185,NL
1108,562,H,HoustonU,46,30,76,7.5,5,-215,1.5
1108,563,V,UTArlington,39,48,87,NL,NL,1500,NL
1108,564,H,BoiseState,61,55,116,17.5,18,-3000,5.5
1108,565,V,USC,33,32,65,NL,NL,385,NL
1108,566,H,UtahState,40,38,78,7,9,-485,3.5
1108,567,V,Oakland,21,40,61,NL,NL,1300,NL
1108,568,H,NorthCarolina,58,26,84,18,16.5,-2150,5
1108,569,V,NCWilmington,12,27,39,NL,NL,5000,NL
1108,570,H,Iowa,48,34,82,25,24.5,-12500,8.5
1108,571,V,UCDavis,39,44,83,NL,NL,155,1
1108,572,H,PortlandU,52,48,100,4.5,4,-175,NL
1108,573,V,FresnoState,36,49,98,NL,NL,245,NL
1108,574,H,CalIrvine,46,39,97,2,6.5,-290,1.5
1108,575,V,CalPolySLO,34,28,62,NL,NL,1150,NL
1108,576,H,Arizona,37,36,73,17.5,16,-1800,8.5
1108,577,V,CalRiverside,13,28,41,NL,NL,1625,NL
1108,578,H,SanDiegoState,38,39,77,18,19,-3250,7
1108,579,V,Pacific,37,43,80,NL,NL,245,NL
1108,580,H,Nevada,42,36,78,5,6.5,-290,2.5
1108,581,V,LouisianaTech,34,36,70,NL,NL,205,NL
1108,582,H,SaintMarysCA,38,45,83,7,5.5,-245,2
1108,583,V,Drexel,31,36,67,NL,NL,265,NL
1108,584,H,UCLA,42,30,72,9,7.5,-325,2.5
1108,585,N,AirForce,28,51,79,142.5,NL,155,74
1108,586,N,Army,30,38,68,1,NL,-175,2
1108,587,V,TheCitadel,38,33,71,154,158.5,460,85
1108,588,H,VMI,37,45,82,9.5,10.5,-630,6.5
1108,589,N,FloridaIntl,24,37,61,NL,NL,220,2
1108,590,N,EasternKentucky,45,38,83,4.5,6,-260,NL
1108,591,V,YoungstownState,34,39,73,5.5,6,-255,2.5
1108,592,H,KennesawSt,21,36,57,NL,NL,215,NL
1108,593,N,GrandCanyon,29,46,75,NL,NL,650,NL
1108,594,N,LoyolaMarymount,41,37,78,8,14,-1000,4.5
1108,595,V,SouthDakotaSt,34,36,70,NL,NL,150,NL
1108,596,H,SanDiego,41,33,74,4,3.5,-170,0.5
1108,597,N,TennesseeState,20,35,55,NL,NL,415,NL
1108,598,N,Hawaii,41,44,85,6.5,10,-525,2.5
1108,599,V,WesternMichigan,32,38,70,NL,NL,270,NL
1108,600,H,NewMexicoState,28,36,64,6,7.5,-330,NL
1108,601,V,AppalachianSt,38,39,77,NL,NL,885,NL
1108,602,H,NCState,43,55,98,15.5,14,-1350,7
1108,603,V,Davidson,39,38,77,NL,NL,1150,NL
1108,604,H,Duke,59,52,111,14.5,16,-1800,5
1108,605,V,Monmouth,36,52,88,NL,NL,225,NL
1108,606,H,Hofstra,45,39,84,6.5,6,-265,2
1108,607,V,Wofford,20,32,52,NL,NL,280,NL
1108,608,H,Georgia,39,33,72,8.5,7.5,-340,1
1108,609,V,JacksonvilleSt,27,38,65,NL,NL,465,NL
1108,610,H,Bradley,33,39,72,8,10.5,-630,4.5
1108,611,V,SIUEdwardsville,27,38,65,NL,NL,4000,NL
1108,612,H,Arkansas,56,43,99,23,22.5,-10000,8.5
1108,613,V,NebraskaOmaha,28,40,68,NL,NL,250,NL
1108,614,H,NoIllinois,39,27,66,5,7,-300,2
1108,615,V,SEMissouriSt,35,29,64,NL,NL,6750,NL
1108,616,H,SaintLouis,34,53,87,22,24.5,-17500,13.5
1108,617,V,MurrayState,31,43,74,NL,NL,255,NL
1108,618,H,Valparaiso,38,39,77,7,7,-310,2.5
1108,619,V,No.Colorado,24,36,60,NL,NL,650,NL
1108,620,H,KansasState,29,29,58,13.5,12.5,-1000,6
1108,621,V,TennMartin,33,27,60,NL,NL,1150,NL
1108,622,H,Wyoming,45,33,78,14.5,16.5,-1800,6.5
1108,623,V,WeberState,33,39,72,NL,NL,415,NL
1108,624,H,BYU,44,37,81,8.5,9.5,-525,3
1108,625,V,PortlandState,28,20,48,NL,NL,1300,NL
