Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1107,551,V,William&Mary,33,26,59,132.5,139,300,74
1107,552,H,St.Johns,26,48,74,9.5,7.5,-360,6
1107,553,V,EasternKentucky,27,39,66,135,133.5,1200,69.5
1107,554,H,MississippiSt,33,43,76,15,16.5,-2000,8
1107,555,V,Valparaiso,30,34,64,141,136,925,73
1107,556,H,Arizona,32,41,73,12.5,14.5,-1300,7.5
1109,741,V,Akron,37,31,68,142,140.5,330,74.5
1109,742,H,MississippiSt,29,29,58,7,9,-420,8
1109,743,V,Lehigh,43,30,73,147.5,147.5,650,79
1109,744,H,St.Johns,33,45,78,12,12.5,-900,10
1109,745,V,Liberty,14,45,59,133,135,2875,68.5
1109,746,H,TexasA&M,37,44,81,18.5,21.5,-6500,8
1109,747,V,Duquesne,30,29,59,145.5,150.5,350,77.5
1109,748,H,Arizona,28,39,67,9,9,-450,7
1111,541,V,NorthCarolina,36,31,67,10.5,8.5,-440,3
1111,542,H,MichiganState,25,30,55,136,135,340,71
1111,543,V,Columbia,22,35,57,136.5,139,NL,73.5
1111,544,H,Connecticut,37,33,70,24,21,NL,8
1111,545,V,IllinoisChicago,26,31,57,123,121.5,190,NL
1111,546,H,EasternMichigan,27,41,68,5,5.5,-230,3
1111,547,V,NoIllinois,20,14,34,134,133,NL,NL
1111,548,H,Purdue,46,50,96,26,26.5,NL,10
1111,549,V,Dartmouth,30,26,56,131,130,1650,NL
1111,550,H,Rutgers,31,31,62,20,19.5,-3000,10.5
1111,551,V,ULMonroe,11,27,38,135.5,136,NL,NL
1111,552,H,Mississippi,33,27,60,22.5,22,NL,8
1111,553,V,Towson,29,25,54,147.5,140.5,NL,NL
1111,554,H,Kansas,53,47,100,31,32.5,NL,12.5
1111,555,V,ArkansasLR,22,27,49,136,131.5,625,NL
1111,556,H,Tulsa,28,37,65,12.5,15,-850,7.5
1111,557,V,St.Josephs,31,41,72,3.5,5,-210,1.5
1111,558,H,WesternKentucky,24,37,61,136.5,134.5,175,71.5
1111,559,V,Cornell,38,20,58,140,133.5,280,NL
1111,560,H,St.Bonaventure,40,39,79,8.5,7.5,-340,4
1111,561,V,WrightState,20,22,42,129.5,127,NL,67
1111,562,H,OhioState,34,39,73,26.5,27,NL,11.5
1111,563,V,BYU,28,34,62,138,137.5,103,NL
1111,564,H,UtahState,30,39,69,2,1,-114,pk
1111,565,V,Troy,40,45,85,148,153.5,650,NL
1111,566,H,TexasTech,45,45,90,13.5,13,-900,6.5
1111,567,V,LoyolaChicago,18,31,49,135.5,134,1075,NL
1111,568,H,Illinois,28,39,67,15.5,15,-1600,5.5
1111,569,V,MissouriSt,31,37,68,137,141,290,NL
1111,570,H,Nevada,24,22,46,7,7.5,-350,6
1111,571,V,Oregon,29,35,64,148,148.5,650,76.5
1111,572,H,Vanderbilt,35,43,78,12.5,13.5,-900,6.5
1111,573,V,LoyolaMarymount,34,35,69,140.5,141,925,NL
1111,574,H,UCLA,33,25,58,16.5,14,-1300,8.5
1111,575,V,CSNorthridge,21,38,59,133.5,131.5,1125,NL
1111,576,H,USC,29,37,66,17.5,16,-1700,7.5
1111,577,V,IllinoisState,26,21,47,127.5,135.5,125,NL
1111,578,H,FresnoState,26,29,55,3.5,2.5,-145,2
1111,579,V,CalIrvine,23,33,56,150,147.5,NL,NL
1111,580,H,California,48,29,77,21.5,22,NL,8
1111,581,N,SouthernUtah,30,46,76,142,138,116,NL
1111,582,N,UCDavis,28,47,75,1.5,1.5,-128,1
1111,583,V,Bryant,27,36,63,134.5,128,NL,NL
1111,584,H,SanDiegoState,28,47,75,23,24.5,NL,12
1111,585,V,Army,35,36,71,128.5,126.5,650,69
1111,586,H,AirForce,32,55,87,11.5,12.5,-900,8.5
1111,587,N,TheCitadel,46,54,100,155.5,161,335,NL
1111,588,N,VMI,52,51,103,10,8.5,-430,3.5
1111,589,V,NDakotaSt,35,38,73,143.5,142,370,NL
1111,590,H,SanFrancisco,24,41,65,9.5,9,-470,8
1111,591,N,ULLafayette,40,43,83,3,3.5,-170,NL
1111,592,N,NorthernArizona,27,39,66,140,136,150,2
1111,593,V,EasternIllinois,39,33,72,130,129.5,1025,NL
1111,594,H,IndianaState,41,38,79,16,15,-1500,7.5
1111,595,V,WesternCarolina,25,25,50,137.5,141.5,325,NL
1111,596,H,SouthCarolina,35,40,75,9.5,8.5,-410,2.5
1111,597,V,Marist,36,22,58,133.5,139.5,NL,NL
1111,598,H,Kentucky,45,63,108,34.5,34,NL,15.5
1111,599,V,TennMartin,23,25,48,144,147,NL,NL
1111,600,H,Louisville,47,36,83,27,28,NL,10
1111,601,V,LoyolaMaryland,31,32,63,137.5,141.5,110,NL
1111,602,H,WakeForest,36,39,75,1.5,2,-130,pk
1111,603,V,NCGreensboro,30,33,63,143,141,925,NL
1111,604,H,Tennessee,49,43,92,13,14,-1300,3.5
1111,605,V,Elon,43,24,67,141.5,146.5,350,NL
1111,606,H,Massachusetts,39,46,85,7.5,9,-450,8
1111,607,V,TennesseeTech,32,26,58,147,147,465,NL
1111,608,H,MiamiFlorida,27,42,69,12.5,11,-630,9
1111,609,V,St.Peter's,24,41,65,124.5,124,500,NL
1111,610,H,Buffalo,36,36,72,10.5,10.5,-700,3
1111,611,V,Valparaiso,39,51,90,5.5,3,-165,1
1111,612,H,GeorgiaSouthern,34,47,81,144,143,145,NL
1111,613,V,SEMissouriSt,36,32,68,146,140.5,NL,NL
1111,614,H,Missouri,38,45,83,24,24,NL,12
1111,615,V,AustinPeay,35,36,71,138,142.5,110,NL
1111,616,H,MiddleTennSt,38,42,80,1,2,-130,0.5
1111,617,V,TennesseeState,12,25,37,132,134,650,NL
1111,618,H,SaintLouis,29,42,71,12,13,-900,4
1111,619,V,Wofford,21,28,49,130.5,130.5,550,NL
1111,620,H,Georgia,30,32,62,10.5,11.5,-750,4
1111,621,V,IdahoState,34,40,74,136,138,1650,NL
1111,622,H,Oklahoma,31,47,78,17.5,18,-3000,11
1111,623,V,Montana,23,35,58,134,139,220,NL
1111,624,H,ColoradoState,30,34,64,7,6,-260,2
1111,625,V,PortlandState,31,30,61,128,134,450,NL
1111,626,H,DenverU,34,35,69,11.5,10.5,-600,5
1111,627,V,MontanaState,21,51,72,135.5,133,816,NL
1111,628,H,ArizonaState,33,45,78,13.5,13.5,-1100,4.5
1111,629,V,E.Washington,35,34,69,140.5,136.5,NL,NL
1111,630,H,Gonzaga,38,39,77,21,21,NL,10.5
1111,631,V,RhodeIsland,33,47,90,135.5,136,500,NL
1111,632,H,GeorgeMason,33,47,92,10.5,11,-700,6
1111,633,V,Belmont,30,46,76,140,150.5,600,78
1111,634,H,Duke,39,38,77,12,11.5,-800,4.5
1112,741,V,Fordham,19,34,53,NL,139.5,NL,71.5
1112,742,H,Syracuse,32,46,78,26.5,24,NL,10
1112,743,V,IdahoU,29,32,61,NL,139,700,74
