first,second,sixteen,eight,four,final,champion
Gonzaga,Gonzaga,Gonzaga,Arkansas,,,
Georgia State,Memphis,Arkansas,Duke,,,
Boise State,New Mexico State,Texas Tech,UNC,,,
Memphis,Arkansas,Duke,St. Peter's,,,
UConn,Notre Dame,UNC,Houston,,,
New Mexico State,Texas Tech,UCLA,Villanova,,,
Arkansas,Michigan State,Purdue,Kansas,,,
Vermont,Duke,St. Peter's,Miami (FL),,,
Alabama,Baylor,Arizona,,,,
Notre Dame,UNC,Houston,,,,
Texas Tech,Saint Mary's,Michigan,,,,
Montana State,UCLA,Villanova,,,,
Michigan State,Texas,Kansas,,,,
Davidson,Purdue,Providence,,,,
Duke,Murray State,Iowa State,,,,
Cal State Fullerton,St. Peter's,Miami (FL),,,,
Baylor,Arizona,,,,,
Norfolk State,TCU,,,,,
UNC,Houston,,,,,
Marquette,Illinois,,,,,
Saint Mary's,Michigan,,,,,
Indiana,Tennessee,,,,,
UCLA,Ohio State,,,,,
Akron,Villanova,,,,,
Texas,Kansas,,,,,
Virginia Tech,Creighton,,,,,
Purdue,Richmond,,,,,
Yale,Providence,,,,,
Murray State,Iowa State,,,,,
San Francisco,Wisconsin,,,,,
Kentucky,Miami,,,,,
St. Peter's,Auburn,,,,,
Arizona,,,,,,
Wright State,,,,,,
Seton Hall,,,,,,
TCU,,,,,,
Houston,,,,,,
UAB,,,,,,
Illinois,,,,,,
Chattanooga,,,,,,
Colorado State,,,,,,
Michigan,,,,,,
Tennessee,,,,,,
Longwood,,,,,,
Ohio State,,,,,,
Loyola (IL),,,,,,
Villanova,,,,,,
Delaware,,,,,,
Kansas,,,,,,
Texas Southern,,,,,,
San Diego State,,,,,,
Creighton,,,,,,
Iowa,,,,,,
Richmond,,,,,,
Providence,,,,,,
South Dakota State,,,,,,
LSU,,,,,,
Iowa State,,,,,,
Wisconsin,,,,,,
Colgate,,,,,,
USC,,,,,,
Miami (FL),,,,,,
Auburn,,,,,,
Jacksonville State,,,,,,
