first,second,sixteen,eight,four,final,champion
Virginia,UMBC,Kansas State,Kansas State,Loyola (IL),Michigan,Villanova
UMBC,Kansas State,Kentucky,Loyola (IL),Michigan,Villanova,
Creighton,Kentucky,Loyola (IL),Florida State,Villanova,,
Kansas State,Buffalo,Nevada,Michigan,Kansas,,
Kentucky,Loyola (IL),Florida State,Villanova,,,
Davidson,Tennessee,Gonzaga,Texas Tech,,,
Arizona,Nevada,Michigan,Kansas,,,
Buffalo,Cincinnati,Texas A&M,Duke,,,
Miami (FL),Xavier,Villanova,,,,
Loyola (IL),Florida State,West Virginia,,,,
Tennessee,Ohio State,Texas Tech,,,,
Wright State,Gonzaga,Purdue,,,,
Nevada,Houston,Kansas,,,,
Texas,Michigan,Clemson,,,,
Cincinnati,Texas A&M,Arizona State,,,,
Georgia State,UNC,Duke,,,,
Xavier,Villanova,,,,,
Texas Southern,Alabama,,,,,
Missouri,West Virginia,,,,,
Florida State,Marshall,,,,,
Ohio State,Florida,,,,,
South Dakota State,Texas Tech,,,,,
Gonzaga,Butler,,,,,
UNC Greensboro,Purdue,,,,,
Houston,Kansas,,,,,
San Diego State,Seton Hall,,,,,
Michigan,Clemson,,,,,
Montana,Auburn,,,,,
Texas A&M,Arizona State,,,,,
Providence,Michigan State,,,,,
UNC,Rhode Island,,,,,
Lipscomb,Duke,,,,,
Villanova,,,,,,
Radford,,,,,,
Virginia Tech,,,,,,
Alabama,,,,,,
West Virginia,,,,,,
Murray State,,,,,,
Wichita State,,,,,,
Marshall,,,,,,
Florida,,,,,,
UCLA,,,,,,
Texas Tech,,,,,,
Stephen F. Austin,,,,,,
Arkansas,,,,,,
Butler,,,,,,
Purdue,,,,,,
Cal State Fullerton,,,,,,
Kansas,,,,,,
Penn,,,,,,
Seton Hall,,,,,,
NC State,,,,,,
Clemson,,,,,,
New Mexico State,,,,,,
Auburn,,,,,,
Charleston Southern,,,,,,
TCU,,,,,,
Arizona State,,,,,,
Michigan State,,,,,,
Bucknell,,,,,,
Rhode Island,,,,,,
Oklahoma,,,,,,
Duke,,,,,,
Iona,,,,,,
