first,second,sixteen,eight,four,final,champion
Auburn,Auburn,Auburn,Auburn,,,
Alabama State,Creighton,Michigan,Michigan State,,,
Louisville,Michigan,Ole Miss,Florida,,,
Creighton,Texas A&M,Michigan State,Texas Tech,,,
Michigan,Ole Miss,Florida,Duke,,,
UC-San Diego,Iowa State,Maryland,Alabama,,,
Texas A&M,New Mexico,Texas Tech,Houston,,,
Yale,Michigan State,Arkansas,Tennessee,,,
Ole Miss,Florida,Duke,,,,
UNC,UConn,Arizona,,,,
Iowa State,Colorado State,BYU,,,,
Lipscomb,Maryland,Alabama,,,,
Marquette,Drake,Houston,,,,
New Mexico,Texas Tech,Purdue,,,,
Michigan State,Arkansas,Kentucky,,,,
Bryant,St. John's (NY),Tennessee,,,,
Florida,Duke,,,,,
Norfolk State,Baylor,,,,,
UConn,Oregon,,,,,
Oklahoma,Arizona,,,,,
Memphis,BYU,,,,,
Colorado State,Wisconsin,,,,,
Maryland,Saint Mary's,,,,,
Grand Canyon,Alabama,,,,,
Missouri,Houston,,,,,
Drake,Gonzaga,,,,,
Texas Tech,McNeese State,,,,,
UNC Wilmington,Purdue,,,,,
Kansas,Illinois,,,,,
Arkansas,Kentucky,,,,,
St. John's (NY),UCLA,,,,,
Omaha,Tennessee,,,,,
Duke,,,,,,
Mount St. Mary's,,,,,,
Mississippi State,,,,,,
Baylor,,,,,,
Oregon,,,,,,
Liberty,,,,,,
Arizona,,,,,,
Akron,,,,,,
BYU,,,,,,
VCU,,,,,,
Wisconsin,,,,,,
Montana,,,,,,
Saint Mary's,,,,,,
Vanderbilt,,,,,,
Alabama,,,,,,
Robert Morris,,,,,,
Houston,,,,,,
SIU-Edwardsville,,,,,,
Gonzaga,,,,,,
Georgia,,,,,,
Clemson,,,,,,
McNeese State,,,,,,
Purdue,,,,,,
High Point,,,,,,
Illinois,,,,,,
Xavier,,,,,,
Kentucky,,,,,,
Troy,,,,,,
UCLA,,,,,,
Utah State,,,,,,
Tennessee,,,,,,
Wofford,,,,,,
