first,second,eight,four,final,champion
Oklahoma State,UCF,BYU,Texas Tech,Houston,XXX
UCF,BYU,Texas Tech,Houston,Iowa State,
BYU,Texas Tech,TCU,Iowa State,,
BYU,Texas Tech,Houston,Baylor,,
Texas Tech,Oklahoma,Kansas State,,,
Texas Tech,TCU,Iowa State,,,
Texas Tech,Houston,Cincinnati,,,
Texas Tech,Houston,Baylor,,,
Oklahoma,Kansas State,,,,
Oklahoma,Texas,,,,
TCU,Iowa State,,,,
TCU,Iowa State,,,,
Houston,Cincinnati,,,,
Houston,Kansas,,,,
Houston,Baylor,,,,
Houston,Baylor,,,,
Kansas State,,,,,
Kansas State,,,,,
Texas,,,,,
Texas,,,,,
Iowa State,,,,,
Iowa State,,,,,
Iowa State,,,,,
Iowa State,,,,,
West Virginia,,,,,
Cincinnati,,,,,
Kansas,,,,,
Kansas,,,,,
Baylor,,,,,
Baylor,,,,,
Baylor,,,,,
Baylor,,,,,
