0,Rhode Island,75,Pitt,83,20101108,12
0,UC-Irvine,65,Illinois,79,20101108,21.5
0,Navy,52,Texas,83,20101108,26
0,Seattle,76,Maryland,105,20101108,19.5
0,UIC,54,Pitt,97,20101110,24.5
0,Toledo,45,Illinois,84,20101110,30
0,College of Charleston,74,Maryland,75,20101110,13.5
0,Louisiana Tech,58,Texas,89,20101110,20.5
0,Eastern Michigan,66,Michigan State,96,20101112,20.5
0,James Madison,61,Kansas State,75,20101112,19
0,North Carolina A&T,61,Ohio State,102,20101112,NL
0,Bucknell,52,Villanova,68,20101112,NL
0,Longwood,75,Kansas,113,20101112,NL
0,Lipscomb,66,UNC,80,20101112,NL
0,UNC Wilmington,60,Florida,77,20101112,25.5
0,Northern Iowa,46,Syracuse,68,20101112,10.5
0,ETSU,65,Kentucky,88,20101112,NL
0,Southern,72,Gonzaga,117,20101112,NL
0,Grambling,52,Baylor,87,20101112,NL
0,Centenary (LA),40,Memphis,104,20101112,33.5
0,Georgetown,62,Old Dominion,59,20101112,-1
0,Campbell,60,Virginia Tech,70,20101112,NL
0,Seton Hall,56,Temple,62,20101112,5
0,Chattanooga,62,Tennessee,82,20101112,20
0,Fresno State,56,BYU,83,20101112,20.5
0,Alabama State,57,Creighton,71,20101112,23.5
0,Alcorn State,56,Texas A&M,88,20101112,NL
0,Appalachian State,89,Tulsa,86,20101112,7.5
0,Little Rock,57,SMU,47,20101112,7
0,Arkansas State,60,Ole Miss,68,20101112,14.5
0,Asbury,49,Morehead State,90,20101112,NL
0,Austin Peay,64,Saint Louis,62,20101112,10.5
0,Boston University,64,Northeastern,66,20101112,NL
0,Bowling Green State,52,Howard,54,20101112,NL
0,Brewton-Parker,33,Savannah State,61,20101112,NL
0,Brown,69,Fordham,65,20101112,2
0,Bryant,57,Cleveland State,71,20101112,23.5
0,Cal State Bakersfield,77,Santa Clara,82,20101112,NL
0,Cal State Northridge,50,UCLA,83,20101112,18
0,UC-Davis,63,Florida Atlantic,70,20101112,NL
0,UC-Riverside,41,UNLV,85,20101112,20.5
1,Central Michigan,70,Cal State Fullerton,67,20101112,-6
0,Charleston Southern,39,Georgia Tech,52,20101112,NL
0,Citadel,37,Richmond,79,20101112,13
0,College of Idaho,42,Saint Mary's,86,20101112,NL
0,Columbia,71,La Salle,82,20101112,12
0,Concordia (IL),75,Chicago State,79,20101112,NL
0,Coppin State,57,Oklahoma,77,20101112,NL
0,Cornell,65,Albany (NY),61,20101112,NL
1,Denver,49,UCSB,65,20101112,3
0,Drexel,75,Loyola (MD),72,20101112,1
0,Eastern Kentucky,57,Loyola (IL),73,20101112,5
0,Elon,79,South Carolina,94,20101112,16
0,Erskine,46,East Carolina,74,20101112,NL
0,Florida A&M,37,Alabama,76,20101112,NL
0,Florida Gulf Coast,60,Indiana,88,20101112,NL
0,Florida Memorial,73,Florida International,89,20101112,NL
