0,Tabor College,52,Northern Colorado,93,20101112
0,Tennessee State,65,Mississippi State,75,20101112
0,Tennessee Tech,69,NC State,82,20101112
0,Tennessee Temple,46,Middle Tennessee,90,20101112
0,Texas A&M-Kingsville,55,Bradley,66,20101112
0,Texas Lutheran,45,Texas-Arlington,88,20101112
0,Towson,57,Miami (OH),60,20101112
0,Truman State,59,UMKC,71,20101112
0,Tulane,91,Maryland-Eastern Shore,62,20101112
0,Vassar,49,Army,66,20101112
0,Virginia Intermont,65,Liberty,82,20101112
0,Waldorf,46,North Dakota,77,20101112
0,West Florida,61,UCF,115,20101112
0,West Virginia Tech,69,Marshall,92,20101112
0,Western Carolina,64,Clemson,87,20101112
0,Western Kentucky,98,St. Joseph's,70,20101112
0,Western Michigan,65,Xavier,68,20101112
0,William & Mary,52,Virginia,76,20101112
0,Wofford,55,Minnesota,69,20101112
0,North Florida,49,Pitt,95,20101113
0,Southern Illinois,63,Illinois,85,20101113
0,Marian (IN),54,Butler,83,20101113
0,McNeese State,64,Washington,118,20101113
0,San Diego State,81,Long Beach State,65,20101113
0,Arkansas-Pine Bluff,51,Colorado State,82,20101113
0,Austin College,58,Louisiana Tech,90,20101113
0,Binghamton,62,Colgate,60,20101113
0,Bluefield (WV),67,Duquesne,110,20101113
0,Bryant,49,Kent State,90,20101113
0,Cal State Fullerton,70,Hawaii,84,20101113
0,UC-Davis,60,Portland,75,20101113
0,UC-Irvine,49,USC,62,20101113
0,UCSB,60,North Dakota State,68,20101113
0,Central Connecticut,64,Hartford,62,20101113
0,College of Charleston,93,Holy Cross,84,20101113
0,Dartmouth,52,Providence,87,20101113
0,Davidson,64,Penn,69,20101113
0,Delaware,69,Ohio,88,20101113
0,Denver,56,Oregon,68,20101113
0,Detroit,54,New Mexico,63,20101113
0,Eastern Oregon,74,Idaho,86,20101113
0,Edward Waters,49,Bethune-Cookman,85,20101113
0,Emory & Henry,54,Radford,57,20101113
0,Farmingdale State,62,Hofstra,102,20101113
0,Ferrum,57,High Point,90,20101113
0,Florida Atlantic,85,Milwaukee,76,20101113
0,Harvard,53,George Mason,66,20101113
0,Hendrix,46,Central Arkansas,87,20101113
0,Houston Baptist,73,Oklahoma State,86,20101113
0,Indiana State,74,Loyola (IL),86,20101113
0,Iona,68,Cleveland State,78,20101113
0,Kean,58,Wyoming,92,20101113
0,LaGrange,40,Coastal Carolina,79,20101113
0,Lesley,47,New Hampshire,79,20101113
0,Manhattan,75,NJIT,70,20101113
0,Mary Hardin-Baylor,47,Sam Houston State,72,20101113
0,Mary Washington,61,Gardner-Webb,76,20101113
0,Minnesota-Duluth,36,Green Bay,75,20101113
0,Montana,66,Nevada,81,20101113
0,Mount St. Mary's,52,Dayton,67,20101113
0,Navy,46,Buffalo,88,20101113
0,Northeastern State,74,Texas A&M-Corpus Christi,81,20101113
0,Oakland City,42,Evansville,82,20101113
0,Queens (NC),61,Winthrop,70,20101113
0,Quinnipiac,84,Yale,75,20101113
0,Sacred Heart,45,Fairfield,62,20101113
0,St. Peter's,30,Robert Morris,55,20101113
0,South Carolina State,81,Charlotte,90,20101113
0,USC Upstate,35,Michigan,66,20101113
0,Southeast Missouri State,56,Alabama-Birmingham,78,20101113
0,Southern,47,Washington State,86,20101113
0,Talladega,77,Alabama A&M,93,20101113
0,Texas-Rio Grande Valley,67,Eastern Kentucky,53,20101113
0,Texas Southern,46,Drake,60,20101113
0,Vermont,80,Siena,76,20101113
0,Washington Adventist,56,Delaware State,63,20101113
0,Weber State,65,Utah State,77,20101113
0,West Alabama,58,Jacksonville State,79,20101113
0,Western Colorado,52,Boise State,78,20101113
0,Princeton,60,Duke,97,20101114
0,Canisius,67,Syracuse,86,20101114
0,IUPUI,56,Gonzaga,86,20101114
0,Howard,40,Purdue,76,20101114
0,Toledo,49,Temple,82,20101114
0,Alabama State,47,Iowa State,74,20101114
0,Alcorn State,68,Houston,88,20101114
0,Little Rock,64,St. Bonaventure,77,20101114
0,Bryant,74,Iona,72,20101114
0,Bucknell,61,Marquette,72,20101114
