first,second,sixteen,eight,four,final,champion
UConn,UConn,UConn,UConn,UConn,,
Stetson,Northwestern,San Diego State,Illinois,,,
Florida Atlantic,San Diego State,Illinois,Alabama,,,
Northwestern,Yale,Iowa State,Clemson,,,
San Diego State,Duquesne,UNC,Duke,,,
UAB,Illinois,Alabama,NC State,,,
Auburn,Washington State,Clemson,Purdue,,,
Yale,Iowa State,Arizona,Tennessee,,,
BYU,UNC,Houston,,,,
Duquesne,Michigan State,Duke,,,,
Illinois,Grand Canyon,NC State,,,,
Morehead State,Alabama,Marquette,,,,
Washington State,Clemson,Purdue,,,,
Drake,Baylor,Gonzaga,,,,
Iowa State,Dayton,Creighton,,,,
South Dakota State,Arizona,Tennessee,,,,
UNC,Houston,,,,,
Wagner,Texas A&M,,,,,
Mississippi State,James Madison,,,,,
Michigan State,Duke,,,,,
Saint Mary's,NC State,,,,,
Grand Canyon,Oakland,,,,,
Alabama,Colorado,,,,,
College of Charleston,Marquette,,,,,
Clemson,Purdue,,,,,
New Mexico,Utah State,,,,,
Baylor,Gonzaga,,,,,
Colgate,Kansas,,,,,
Dayton,Oregon,,,,,
Nevada,Creighton,,,,,
Arizona,Texas,,,,,
Long Beach State,Tennessee,,,,,
Houston,,,,,,
Longwood,,,,,,
Nebraska,,,,,,
Texas A&M,,,,,,
Wisconsin,,,,,,
James Madison,,,,,,
Duke,,,,,,
Vermont,,,,,,
Texas Tech,,,,,,
NC State,,,,,,
Kentucky,,,,,,
Oakland,,,,,,
Florida,,,,,,
Colorado,,,,,,
Marquette,,,,,,
Western Kentucky,,,,,,
Purdue,,,,,,
Grambling,,,,,,
Utah State,,,,,,
TCU,,,,,,
Gonzaga,,,,,,
McNeese State,,,,,,
Kansas,,,,,,
Samford,,,,,,
South Carolina,,,,,,
Oregon,,,,,,
Creighton,,,,,,
Akron,,,,,,
Texas,,,,,,
Colorado State,,,,,,
Tennessee,,,,,,
St. Peter's,,,,,,
