0,Evansville,62,Missouri State,85,20230104,+13.5
0,Mississippi Valley State,68,Alabama A&M,75,20230104,+12.5
0,Drake,49,Southern Illinois,53,20230104,+1.5
0,Grambling State,85,Texas Southern,72,20230104,+2.5
0,Bradley,58,Murray State,67,20230104,-4.5
0,UAPB,66,Alabama State,80,20230104,+1.5
0,Lindenwood,67,Little Rock,62,20230104,+6.5
0,Missouri,68,Arkansas,74,20230104,+8.5
0,Incarnate Word,61,Texas A&M-Corpus Christi,91,20230104,+13.5
0,Southern,66,Prairie View A&M,62,20230104,+2.5
0,Connecticut,61,Providence,73,20230104,-5.5
0,DePaul,70,Butler,78,20230104,+8.5
0,TCU,88,Baylor,87,20230104,+5.5
0,Illinois,60,Northwestern,73,20230104,-3.5
0,Clemson,68,Virginia Tech,65,20230104,+6.5
0,Wake Forest,79,North Carolina,88,20230104,+10.5
0,Colorado State,69,Nevada,80,20230104,+4.5
0,Fairleigh Dickinson,76,St. Francis Brooklyn,57,20230105,+2.5
0,Maine,70,Massachusetts-Lowell,72,20230105,+10.5
0,Maryland,50,Rutgers,64,20230105,+5.5
0,Queens (NC,75,Bellarmine,74,20230105,-1.5
0,Coastal Carolina,62,Appalachian State,63,20230105,+5.5
0,Marshall,76,Georgia Southern,81,20230105,-7.5
0,Texas State,63,James Madison,62,20230105,+11.5
0,Old Dominion,71,Troy,78,20230105,+5.5
0,Jacksonville,61,Stetson,73,20230105,-1.5
0,Sacred Heart,59,Merrimack College,55,20230105,+3.5
0,Lafayette,69,Boston,73,20230105,+5.5
0,Albany,83,UMBC,92,20230105,+11.5
0,SMU,53,Houston,87,20230105,+20.5
0,Southern Indiana,80,Morehead State,84,20230105,+2.5
0,Omaha,78,Western Illinois,74,20230105,+3.5
0,UAB,86,Florida Atlantic,88,20230105,+1.5
0,American,73,Holy Cross,68,20230105,-5.5
0,Stony Brook,67,Monmouth,56,20230105,-2.5
0,Tennessee State,72,SIUE,81,20230105,+6.5
0,New Hampshire,50,Binghamton,68,20230105,+2.5
0,Army,78,Loyola Maryland,55,20230105,-1.5
0,Wagner,58,Stonehill,62,20230105,+1.5
0,Navy,73,Colgate,87,20230105,+8.5
0,Jacksonville State,41,Liberty,75,20230105,+14.5
0,Lehigh,72,Bucknell,64,20230105,+7.5
0,Northeastern,66,William & Mary,69,20230105,-2.5
0,Robert Morris,56,Youngstown State,78,20230105,+7.5
0,Bryant,64,Vermont,74,20230105,+3.5
0,Green Bay,69,Purdue Fort Wayne,79,20230105,+17.5
0,Charlotte,60,FIU,62,20230105,-5.5
0,Milwaukee,68,Cleveland State,64,20230105,+5.5
0,Purdue,71,Ohio State,69,20230105,+2.5
0,Drexel,58,Towson,64,20230105,+6.5
0,LIU,59,Central Connecticut State,78,20230105,+8.5
0,Hofstra,67,Hampton,51,20230105,-10.5
0,Kennesaw State,86,North Florida,89,20230105,+0.5
0,Georgia State,58,Louisiana-Monroe,66,20230105,-4.5
0,Grand Canyon,72,Sam Houston State,68,20230105,+3.5
0,Seattle,66,Texas-Rio Grande Valley,64,20230105,-6.5
0,Southern Miss,61,Louisiana-Lafayette,75,20230105,+2.5
0,North Alabama,62,Lipscomb,86,20230105,+7.5
0,Louisiana Tech,88,Rice,82,20230105,+2.5
0,Florida Gulf Coast,59,Austin Peay,61,20230105,-4.5
0,South Dakota,62,North Dakota,60,20230105,-2.5
0,Montana State,77,Northern Colorado,56,20230105,-2.5
0,Eastern Kentucky,77,Central Arkansas,75,20230105,-3.5
0,Montana,74,Northern Arizona,75,20230105,-2.5
0,Utah Valley,72,UT Arlington,64,20230105,-5.5
0,Washington State,71,Arizona State,77,20230105,+3.5
0,Arkansas State,45,South Alabama,63,20230105,+7.5
0,Southern Utah,65,Tarleton State,68,20230105,+0.5
0,South Dakota State,59,North Dakota State,65,20230105,-2.5
0,Middle Tennessee,72,UTSA,75,20230105,-9.5
0,Denver,71,St. Thomas (MN,81,20230105,+6.5
0,Lamar,55,New Orleans,81,20230105,+7.5
0,Houston Christian,59,Southeastern Louisiana,71,20230105,+9.5
0,Northwestern State,77,McNeese State,92,20230105,-3.5
0,Eastern Illinois,49,Tennessee Tech,70,20230105,+4.5
0,UC Irvine,88,UC Davis,83,20230105,-2.5
0,Nicholls,66,Texas A&M-Commerce,63,20230105,-3.5
0,Indiana,89,Iowa,91,20230105,+1.5
0,Oregon,41,Colorado,68,20230105,+2.5
0,Cincinnati,70,Wichita State,61,20230105,-2.5
0,North Texas,70,Western Kentucky,66,20230105,-4.5
0,Southeast Missouri State,82,UT Martin,87,20230105,+1.5
0,Portland State,80,Eastern Washington,92,20230105,+6.5
0,Sacramento State,85,Idaho,83,20230105,-2.5
0,USC,58,UCLA,60,20230105,+11.5
0,Pacific,84,San Diego,82,20230105,+6.5
0,Cal State Fullerton,77,UC Riverside,62,20230105,+4.5
0,Utah Tech,58,California Baptist,72,20230105,+6.5
0,Cal Poly,51,Bakersfield,61,20230105,+2.5
0,Oregon State,60,Utah,79,20230105,+13.5
0,Hawaii,62,California-San Diego,49,20230105,-6.5
0,Long Beach State,84,CSUN,74,20230105,-6.5
0,Santa Clara,89,Pepperdine,79,20230105,+0.5
0,Gonzaga,77,San Francisco,75,20230105,-9.5
0,Washington,67,Arizona,70,20230105,+18.5
0,BYU,59,Loyola Marymount,64,20230105,-1.5
0,Incarnate Word,0,Texas A&M-Corpus Christi,0,20230105,NL
0,Lindenwood,0,Little Rock,0,20230105,NL
0,Western Michigan,74,Toledo,102,20230106,+15.5
0,Oakland,64,Northern Kentucky,63,20230106,+6.5
0,Detroit,85,Wright State,90,20230106,+4.5
0,Niagara,77,Fairfield,69,20230106,+3.5
0,Penn,69,Cornell,88,20230106,+3.5
0,Quinnipiac,72,Rider,63,20230106,-1.5
0,Dartmouth,81,Yale,77,20230106,+16.5
0,Canisius,64,Manhattan,57,20230106,+1.5
0,Saint Peter's,60,Siena,70,20230106,+7.5
0,Harvard,70,Brown,68,20230106,+0.5
0,Iona,84,Marist,57,20230106,-12.5
0,Princeton,68,Columbia,49,20230106,-11.5
0,Akron,63,Ball State,70,20230106,+3.5
0,Stanford,70,California,92,20230106,-7.5
0,Notre Dame,64,North Carolina,81,20230107,+12.5
0,Vanderbilt,82,Missouri,85,20230107,+8.5
0,Texas,56,Oklahoma State,46,20230107,-3.5
0,Northern Illinois,62,Buffalo,80,20230107,+10.5
0,Davidson,72,VCU,89,20230107,+5.5
0,Creighton,60,Connecticut,69,20230107,+7.5
0,Nebraska,81,Minnesota,79,20230107,-3.5
0,St. John's,80,Providence,83,20230107,+6.5
0,Georgia Tech,64,Florida State,75,20230107,+2.5
0,Duke,65,Boston College,64,20230107,-8.5
0,LIU,89,Fairleigh Dickinson,101,20230107,+12.5
0,Kentucky,52,Alabama,78,20230107,+4.5
0,Georgia,75,Florida,82,20230107,+8.5
0,Milwaukee,74,Purdue Fort Wayne,70,20230107,+7.5
0,Wisconsin,69,Illinois,79,20230107,+7.5
0,South Dakota State,60,North Dakota,59,20230107,-5.5
0,Charlotte,67,Florida Atlantic,71,20230107,+8.5
0,South Dakota,61,North Dakota State,73,20230107,+4.5
0,Tulane,87,Temple,76,20230107,+1.5
0,Monmouth,35,Drexel,67,20230107,+13.5
0,East Carolina,59,Memphis,69,20230107,+15.5
0,IUPUI,74,Youngstown State,105,20230107,+22.5
0,Loyola Chicago,75,George Mason,86,20230107,+5.5
0,Massachusetts,73,George Washington,81,20230107,-1.5
0,Georgetown,73,Marquette,95,20230107,+18.5
0,Rhode Island,75,La Salle,77,20230107,+0.5
0,Ole Miss,54,Mississippi State,64,20230107,+5.5
0,Saint Joseph's,54,Fordham,66,20230107,+3.5
0,Hofstra,75,William & Mary,62,20230107,-6.5
