Illinois,+6.5,Indiana,20230218,131834
Notre Dame,+12.5,Virginia,20230218,131834
Texas Tech,+6.5,West Virginia,20230218,131834
Seton Hall,+10.5,UConn,20230218,131834
Rutgers,+1,Wisconsin,20230218,131834
Boston College,+3.5,Florida State,20230218,131834
William & Mary,+7,Northeastern,20230218,131834
UNC Greensboro,-3,Chattanooga,20230218,131834
Saint Josephs,+5.5,Davidson,20230218,131834
Tennessee,-1.5,Kentucky,20230218,131834
South Carolina,+7.5,LSU,20230218,131834
Samford,-12.5,VMI,20230218,131834
Georgia Southern,+8,Southern Mississippi,20230218,131834
Wofford,-3.5,The Citadel,20230218,131834
Binghamton,+11.5,UMass Lowell,20230218,131834
Saint Francis PA,-7.5,LIU,20230218,131834
Stonehill,+3,Central Connecticut State,20230218,131834
UMBC,-1,New Hampshire,20230218,131834
Bucknell,+4.5,Boston University,20230218,131834
Iowa State,+3.5,Kansas State,20230218,131834
Oklahoma,+10.5,Texas,20230218,131834
Oklahoma State,+6,TCU,20230218,131834
Wake Forest,+7,Miami FL,20230218,131834
Florida,+9,Arkansas,20230218,131834
Illinois State,+14,Indiana State,20230218,131834
Green Bay,+22.5,Youngstown State,20230218,131834
Ohio,-7,Central Michigan,20230218,131834
Western Carolina,+5.5,Mercer,20230218,131834
Massachusetts,+5,Rhode Island,20230218,131834
Elon,+1,Monmouth,20230218,131834
Holy Cross,+18,Colgate,20230218,131834
Texas State,-1,Coastal Carolina,20230218,131834
Queens NC,+8,Kennesaw State,20230218,131834
Presbyterian,+7.5,Campbell,20230218,131834
Albany NY,+7.5,Maine,20230218,131834
Lehigh,+5,American,20230218,131834
Merrimack,+2,Sacred Heart,20230218,131834
Fordham,+7.5,VCU,20230218,131834
Ball State,-7.5,Western Michigan,20230218,131834
UT Arlington,+11.5,SFA,20230218,131834
Lindenwood,+9.5,Morehead State,20230218,131834
Charlotte,+1.5,Louisiana Tech,20230218,131834
South Dakota,+3,Denver,20230218,131834
Northern Arizona,+2,Idaho,20230218,131834
Georgia State,pk,Arkansas State,20230218,131834
Radford,+4,Longwood,20230218,131834
Gardner-Webb,+1.5,UNC Asheville,20230218,131834
Mississippi State,-3.5,Ole Miss,20230218,131834
Baylor,+5.5,Kansas,20230218,131834
DePaul,+13,Xavier,20230218,131834
Evansville,+12,Murray State,20230218,131834
North Carolina A&T,+12.5,Towson,20230218,131834
UAB,-15.5,UTSA,20230218,131834
ULM,+12,South Alabama,20230218,131834
UNCW,+1.5,Delaware,20230218,131834
UNI,+4.5,Missouri State,20230218,131834
UC Davis,+7,UC Irvine,20230218,131834
Drexel,-5,Hampton,20230218,131834
Old Dominion,+2.5,Appalachian State,20230218,131834
La Salle,+5.5,George Mason,20230218,131834
UT Martin,+1.5,Tennessee Tech,20230218,131834
UIW,+11,Nicholls State,20230218,131834
Loyola Maryland,+10.5,Navy,20230218,131834
Morgan State,+12,Norfolk State,20230218,131834
Southern University,+2.5,Grambling,20230218,131834
North Carolina Central,-8.5,Delaware State,20230218,131834
South Carolina State,+8,UMES,20230218,131834
Howard,-6,Coppin State,20230218,131834
North Florida,-2.5,Austin Peay,20230218,131834
Fairleigh Dickinson,+2.5,Wagner,20230218,131834
USC Upstate,+1,High Point,20230218,131834
Alcorn,+1,Jackson State,20230218,131834
Villanova,+3.5,Providence,20230218,131834
Miami OH,+5,Northern Illinois,20230218,131834
Eastern Illinois,+5.5,Little Rock,20230218,131834
SIUE,pk,Tennessee State,20230218,131834
New Orleans,+12,Northwestern State,20230218,131834
A&M-Corpus Christi,-4.5,McNeese,20230218,131834
Pittsburgh,+5,Virginia Tech,20230218,131834
Toledo,-9,Bowling Green,20230218,131834
Northern Colorado,+8,Eastern Washington,20230218,131834
Colorado State,+1,Fresno State,20230218,131834
Southern Indiana,+3,Southeast Missouri State,20230218,131834
Winthrop,-2,Charleston Southern,20230218,131834
Southeastern Louisiana,pk,Texas A&M-Commerce,20230218,131834
Georgia,+18.5,Alabama,20230218,131834
Texas A&M,+2.5,Missouri,20230218,131834
Duke,-1,Syracuse,20230218,131834
Utah,+3,Arizona State,20230218,131834
FIU,+7.5,Middle Tennessee,20230218,131834
Mississippi Valley,+10.5,Texas Southern,20230218,131834
Liberty,-10,Jacksonville State,20230218,131834
Lafayette,+3.5,Army West Point,20230218,131834
Yale,-1,Princeton,20230218,131834
Brown,+4.5,Pennsylvania,20230218,131834
Stetson,+4.5,FGCU,20230218,131834
Harvard,+6,Cornell,20230218,131834
Bethune-Cookman,+5,Alabama A&M,20230218,131834
Hofstra,-12.5,Stony Brook,20230218,131834
Florida A&M,+6.5,Alabama State,20230218,131834
Arkansas-Pine Bluff,+6.5,Prairie View,20230218,131834
Gonzaga,-16,Pepperdine,20230218,131834
Clemson,-10,Louisville,20230218,131834
Buffalo,+9.5,Akron,20230218,131834
Cal Poly,+10,Cal State Fullerton,20230218,131834
Troy,+9,Marshall,20230218,131834
Louisiana-Lafayette,+3,James Madison,20230218,131834
Milwaukee,+3,Robert Morris,20230218,131834
Hawaii,+3,Long Beach State,20230218,131834
Idaho State,+4,Sacramento State,20230218,131834
Dartmouth,-3.5,Columbia,20230218,131834
Vermont,-11.5,NJIT,20230218,131834
North Alabama,+7.5,Eastern Kentucky,20230218,131834
Creighton,-7,Saint Johns,20230218,131834
Colorado,+13,Arizona,20230218,131834
Michigan State,+2,Michigan,20230218,131834
North Dakota State,+13.5,Oral Roberts,20230218,131834
Oregon State,+9,Washington,20230218,131834
Duquesne,+6,Saint Louis,20230218,131834
South Dakota State,-6.5,Omaha,20230218,131834
Tulane,-3.5,South Florida,20230218,131834
Nevada,+4.5,Utah State,20230218,131834
Western Illinois,+7,Saint Thomas MN,20230218,131834
Utah Valley,-2,Seattle,20230218,131834
UC Santa Barbara,-2,UC Riverside,20230218,131834
North Dakota,+3,Kansas City,20230218,131834
Western Kentucky,+1.5,Rice,20230218,131834
Sam Houston,-3,Tarleton State,20230218,131834
Jacksonville,+6.5,Lipscomb,20230218,131834
Lamar,+4,Houston Christian,20230218,131834
Auburn,-3,Vanderbilt,20230218,131834
Santa Clara,-3,Portland,20230218,131834
Penn State,-8,Minnesota,20230218,131834
North Texas,-5.5,UTEP,20230218,131834
Montana,+6,Montana State,20230218,131834
BYU,+10,Saint Marys,20230218,131834
Stanford,+6,USC,20230218,131834
CSUN,+6,UC San Diego,20230218,131834
Pacific,+9.5,LMU,20230218,131834
Weber State,+1,Portland State,20230218,131834
California,+25,UCLA,20230218,131834
