UMFK,NL,Maine,20241106,140736
Mercyhurst,NL,Morgan State,20241106,140736
Wagner, 20 ,Rutgers,20241106,140736
Campbell, 17 ,Virginia,20241106,140736
Columbia, 17 ,Villanova,20241106,140736
Sacred Heart, 35 ,Connecticut,20241106,140736
BALDW,NL,Cleveland State,20241106,140736
MTOLI,NL,Richmond,20241106,140736
TAMSA,NL,Texas Southern,20241106,140736
BOYC,NL,Morehead State,20241106,140736
VULYN,NL,Norfolk State,20241106,140736
OHCHR,NL,Wright State,20241106,140736
CCC,NL,Presbyterian,20241106,140736
MSBOS,NL,New Hampshire,20241106,140736
PIEDMO,NL,USC Upstate,20241106,140736
Coppin State, 24 ,High Point,20241106,140736
Lehigh, 14.5 ,Georgetown,20241106,140736
CSUN, -1.5 ,Le Moyne,20241106,140736
Stonehill, 27.5 ,Notre Dame,20241106,140736
STANDR,NL,Appalachian State,20241106,140736
West Georgia, 23.5 ,Georgia Tech,20241106,140736
Oral Roberts, 16 ,Minnesota,20241106,140736
Louisiana-Monroe, 23 ,LSU,20241106,140736
SIUE, 28.5 ,Indiana,20241106,140736
EARL,NL,Eastern Illinois,20241106,140736
CCT,NL,UAPB,20241106,140736
Vermont, 15.5 ,Auburn,20241106,140736
Lipscomb, 14.5 ,Arkansas,20241106,140736
Texas A&M-Commerce, 13 ,South Dakota,20241106,140736
Western Illinois, 4.5 ,Pepperdine,20241106,140736
Oakland, 17.5 ,Boise State,20241106,140736
Seattle, -8.5 ,Eastern Washington,20241106,140736
Alcorn State, 24 ,Utah State,20241106,140736
Texas-Rio Grande Valley, 30.5 ,Creighton,20241106,140736
California-San Diego, 10.5 ,San Diego State,20241106,140736
LEWCL,NL,Portland,20241106,140736
Rider, 1.5 ,San Diego,20241106,140736
