Georgia,+6.5,Oregon,20231106,105942
Samford,+19.5,Purdue,20231106,105942
Northern Arizona,+26.5,UConn,20231106,105942
Tennessee Tech,+32,Tennessee,20231106,105942
Niagara,+8.5,Notre Dame,20231106,105942
Radford,+18.5,North Carolina,20231106,105942
UMBC,+8,Louisville,20231106,105942
Missouri State,+4,West Virginia,20231106,105942
Tarleton State,+16,Virginia,20231106,105942
Oakland,+19,Ohio State,20231106,105942
McNeese,+10.5,VCU,20231106,105942
Princeton,+6,Rutgers,20231106,105942
Delaware State,+20,Penn State,20231106,105942
New Hampshire,+17,Syracuse,20231106,105942
SIUE,+15.5,Dayton,20231106,105942
Columbia,+18.5,Providence,20231106,105942
Iona,+7.5,Charleston,20231106,105942
NJIT,+25,Miami FL,20231106,105942
Maine,+7.5,Charlotte,20231106,105942
Cleveland State,+10,Duquesne,20231106,105942
Winthrop,+14.5,Clemson,20231106,105942
VMI,+17.5,Richmond,20231106,105942
Detroit,+15.5,Toledo,20231106,105942
Monmouth,+11.5,George Mason,20231106,105942
USC Upstate,+13,South Carolina,20231106,105942
Brown,+8,Colgate,20231106,105942
Central Connecticut State,+10.5,Rhode Island,20231106,105942
Queens NC,+6.5,Marshall,20231106,105942
Chicago State,+8,Bowling Green,20231106,105942
Longwood,+11.5,Saint Bonaventure,20231106,105942
Hampton,+7,Howard,20231106,105942
Lafayette,+14,Saint Josephs,20231106,105942
Holy Cross,+6.5,Siena,20231106,105942
North Dakota State,-3.5,Western Michigan,20231106,105942
The Citadel,+20.5,North Carolina State,20231106,105942
North Carolina A&T,+24.5,Pittsburgh,20231106,105942
Delaware,-7,Bucknell,20231106,105942
Lipscomb,+7,Wichita State,20231106,105942
American,+22,Villanova,20231106,105942
Towson,+15,Colorado,20231106,105942
Georgia Southern,+10.5,Georgia Tech,20231106,105942
UMES,+14,Temple,20231106,105942
Georgia State,+7.5,Belmont,20231106,105942
Wagner,+10.5,Fordham,20231106,105942
Merrimack,+13.5,Vermont,20231106,105942
Manhattan,+11.5,Bryant,20231106,105942
