Marquette, -5.5 ,Seton Hall,20240106,151622
Mississippi State, -2.5 ,South Carolina,20240106,151622
DePaul, 6.5 ,Georgetown,20240106,151622
La Salle, 4.5 ,Fordham,20240106,151622
Rutgers, 6.5 ,Iowa,20240106,151622
North Carolina, 2.5 ,Clemson,20240106,151622
Pittsburgh, -8.5 ,Louisville,20240106,151622
Massachusetts-Lowell, 1.5 ,New Hampshire,20240106,151622
Howard, 1.5 ,North Carolina Central,20240106,151622
Kentucky, 3.5 ,Florida,20240106,151622
Mercer, -4.5 ,VMI,20240106,151622
Samford, -7.5 ,Citadel,20240106,151622
Georgia, 4.5 ,Missouri,20240106,151622
St. John's, 3.5 ,Villanova,20240106,151622
Wright State, 1.5 ,Purdue Fort Wayne,20240106,151622
Milwaukee, -8.5 ,Detroit,20240106,151622
Lafayette, 6.5 ,Boston,20240106,151622
Saint Francis U, 3.5 ,Wagner,20240106,151622
Bryant, -6.5 ,UMBC,20240106,151622
Colgate, -6.5 ,Navy,20240106,151622
Holy Cross, 5.5 ,Army,20240106,151622
Auburn, -2.5 ,Arkansas,20240106,151622
Murray State, 1.5 ,Evansville,20240106,151622
Drexel, -6.5 ,William & Mary,20240106,151622
Campbell, 3.5 ,Hampton,20240106,151622
UNCW, -1.5 ,Towson,20240106,151622
Central Michigan, 7.5 ,Ball State,20240106,151622
Harvard, 14.5 ,Princeton,20240106,151622
Tulane, 5.5 ,North Texas,20240106,151622
Delaware, 5.5 ,Hofstra,20240106,151622
Providence, 11.5 ,Creighton,20240106,151622
Saint Louis, 8.5 ,George Mason,20240106,151622
Western Michigan, 2.5 ,Buffalo,20240106,151622
Dartmouth, 7.5 ,Penn,20240106,151622
West Virginia, 20.5 ,Houston,20240106,151622
TCU, 8.5 ,Kansas,20240106,151622
Virginia, 1.5 ,North Carolina State,20240106,151622
Northern Illinois, 6.5 ,Ohio,20240106,151622
American, -1.5 ,Bucknell,20240106,151622
UNC Asheville, -5.5 ,Presbyterian,20240106,151622
Gardner-Webb, 7.5 ,High Point,20240106,151622
Jacksonville, 6.5 ,Stetson,20240106,151622
Maine, 9.5 ,Vermont,20240106,151622
LIU, 5.5 ,Stonehill,20240106,151622
Le Moyne, 3.5 ,Fairleigh Dickinson,20240106,151622
McNeese State, -11.5 ,Texas A&M-Commerce,20240106,151622
Albany, -3.5 ,NJIT,20240106,151622
Nebraska, 6.5 ,Wisconsin,20240106,151622
Miami (FL, 3.5 ,Wake Forest,20240106,151622
James Madison, -7.5 ,Southern Miss,20240106,151622
Georgia Southern, 3.5 ,Louisiana-Monroe,20240106,151622
UTSA, 8.5 ,Rice,20240106,151622
Old Dominion, 9.5 ,Arkansas State,20240106,151622
Green Bay, 7.5 ,Oakland,20240106,151622
Tennessee State, 8.5 ,Morehead State,20240106,151622
Baylor, -4.5 ,Oklahoma State,20240106,151622
North Dakota, 2.5 ,Northern Arizona,20240106,151622
UT Arlington, 6.5 ,Stephen F. Austin,20240106,151622
Charleston Southern, 15.5 ,Longwood,20240106,151622
Sacred Heart, 4.5 ,Merrimack College,20240106,151622
Kent State, -10.5 ,Eastern Michigan,20240106,151622
Alabama, -14.5 ,Vanderbilt,20240106,151622
Alcorn State, 7.5 ,Jackson State,20240106,151622
Missouri State, 4.5 ,Bradley,20240106,151622
Duquesne, -1.5 ,Loyola Chicago,20240106,151622
Eastern Illinois, 8.5 ,Little Rock,20240106,151622
Wofford, 6.5 ,Western Carolina,20240106,151622
UC Davis, 8.5 ,UC Irvine,20240106,151622
Georgia State, 3.5 ,South Alabama,20240106,151622
Boston College, 2.5 ,Georgia Tech,20240106,151622
St. Bonaventure, -2.5 ,Richmond,20240106,151622
Florida Atlantic, -8.5 ,Charlotte,20240106,151622
UNLV, 8.5 ,San Diego State,20240106,151622
Southern Utah, 6.5 ,Utah Valley,20240106,151622
East Tennessee State, 7.5 ,UNCG,20240106,151622
George Washington, 12.5 ,VCU,20240106,151622
Virginia Tech, -1.5 ,Florida State,20240106,151622
Stanford, 4.5 ,USC,20240106,151622
BTHTN,NL,Southeast Missouri State,20240106,151622
Winthrop, -6.5 ,USC Upstate,20240106,151622
Lipscomb, -3.5 ,Bellarmine,20240106,151622
Florida A&M, 4.5 ,Bethune-Cookman,20240106,151622
Coppin State, 9.5 ,Delaware State,20240106,151622
Morgan State, 2.5 ,Maryland Eastern Shore,20240106,151622
Norfolk State, -6.5 ,South Carolina State,20240106,151622
Appalachian State, -3.5 ,Troy,20240106,151622
Lindenwood, 8.5 ,Western Illinois,20240106,151622
Nicholls, -5.5 ,Houston Christian,20240106,151622
Marshall, -1.5 ,Texas State,20240106,151622
North Dakota State, 8.5 ,Eastern Washington,20240106,151622
FIU, 5.5 ,Jacksonville State,20240106,151622
Southeastern Louisiana, 1.5 ,New Orleans,20240106,151622
Lehigh, -2.5 ,Loyola Maryland,20240106,151622
Prairie View A&M, 1.5 ,Grambling State,20240106,151622
Queens (NC, 8.5 ,Kennesaw State,20240106,151622
Montana State, 11.5 ,South Dakota State,20240106,151622
Louisiana Tech, -7.5 ,Sam Houston State,20240106,151622
California Baptist, 6.5 ,Seattle,20240106,151622
Liberty, -3.5 ,Western Kentucky,20240106,151622
UCF, 5.5 ,Kansas State,20240106,151622
Ole Miss, 11.5 ,Tennessee,20240106,151622
Iowa State, 2.5 ,Oklahoma,20240106,151622
Duke, -14.5 ,Notre Dame,20240106,151622
Oregon State, 12.5 ,Washington,20240106,151622
Texas-Rio Grande Valley, 9.5 ,Abilene Christian,20240106,151622
Texas A&M-Corpus Christi, -1.5 ,Incarnate Word,20240106,151622
Charleston, -6.5 ,Stony Brook,20240106,151622
Texas Southern, 4.5 ,Southern,20240106,151622
Alabama A&M, 3.5 ,UAPB,20240106,151622
North Carolina A&T, 5.5 ,Elon,20240106,151622
Nevada, -6.5 ,Fresno State,20240106,151622
Southern Illinois, -2.5 ,Illinois State,20240106,151622
Furman, 1.5 ,Chattanooga,20240106,151622
UC Riverside, 7.5 ,Long Beach State,20240106,151622
Austin Peay, 4.5 ,Eastern Kentucky,20240106,151622
Northwestern State, 10.5 ,Lamar,20240106,151622
North Florida, 7.5 ,Florida Gulf Coast,20240106,151622
Alabama State, -10.5 ,Mississippi Valley State,20240106,151622
Colorado, -3.5 ,Arizona State,20240106,151622
Pacific, 10.5 ,Portland,20240106,151622
Valparaiso, 12.5 ,UIC,20240106,151622
Ohio State, -1.5 ,Indiana,20240106,151622
Coastal Carolina, 9.5 ,Louisiana-Lafayette,20240106,151622
Weber State, -2.5 ,Oral Roberts,20240106,151622
Denver, 3.5 ,Northern Colorado,20240106,151622
Portland State, -2.5 ,Kansas City,20240106,151622
Sacramento State, 8.5 ,St. Thomas (MN,20240106,151622
Hawaii, -1.5 ,CSUN,20240106,151622
Omaha, 1.5 ,Idaho State,20240106,151622
Texas Tech, 6.5 ,Texas,20240106,151622
Utah, 13.5 ,Arizona,20240106,151622
Central Arkansas, 10.5 ,North Alabama,20240106,151622
LSU, 11.5 ,Texas A&M,20240106,151622
Tennessee Tech, 3.5 ,Southern Indiana,20240106,151622
Saint Mary's, -9.5 ,Loyola Marymount,20240106,151622
San Diego, 23.5 ,Gonzaga,20240106,151622
Colorado State, 1.5 ,Utah State,20240106,151622
South Dakota, 12.5 ,Montana,20240106,151622
California-San Diego, -2.5 ,Cal State Fullerton,20240106,151622
Grand Canyon, -13.5 ,Utah Tech,20240106,151622
Oregon, 1.5 ,Washington State,20240106,151622
Wyoming, 16.5 ,New Mexico,20240106,151622
Santa Clara, -2.5 ,Pepperdine,20240106,151622
UC Santa Barbara, -7.5 ,Cal Poly,20240106,151622
Cincinnati, 9.5 ,BYU,20240106,151622
California, 6.5 ,UCLA,20240106,151622
Boise State,NL,San Jose State,20240106,151622
UTEP,NL,New Mexico State,20240106,151622
Miami (OH,NL,Toledo,20240106,151622
Bowling Green,NL,Akron,20240106,151622
