Loyola Chicago,pk,Ohio State,20220318,053536
Jacksonville State,+15,Auburn,20220318,053536
Montana State,+15,Texas Tech,20220318,053536
Yale,+17,Purdue,20220318,053536
Delaware,+15.5,Villanova,20220318,053536
Miami FL,+2,USC,20220318,053536
Notre Dame,+4,Alabama,20220318,053536
Virginia Tech,+1,Texas,20220318,053536
Chattanooga,+8,Illinois,20220318,053536
Cal State Fullerton,+18.5,Duke,20220318,053536
Iowa State,+4,LSU,20220318,053536
Wright State,+21.5,Arizona,20220318,053536
UAB,+8.5,Houston,20220318,053536
Davidson,+1,Michigan State,20220318,053536
Colgate,+8,Wisconsin,20220318,053536
TCU,+1,Seton Hall,20220318,053536
Michigan,+5.5,Tennessee,20220318,053536
Richmond,+2.5,Providence,20220318,053536
Memphis,+10.5,Gonzaga,20220318,053536
North Carolina,+5.5,Baylor,20220318,053536
Purdue Fort Wayne,+10,Drake,20220318,053536
Oregon,+5,Texas A&M,20220318,053536
New Mexico State,+6.5,Arkansas,20220318,053536
Saint Marys,+2.5,UCLA,20220318,053536
Saint Peters,+8,Murray State,20220318,053536
Creighton,+9.5,Kansas,20220318,053536
UNC Asheville,+6.5,SFA,20220318,053536
Western Illinois,+7.5,UTEP,20220318,053536
VCU,+5,Wake Forest,20220318,053536
California Baptist,+6,Middle Tennessee,20220318,053536
Rice,+5.5,Ohio,20220318,053536
UNI,+6,BYU,20220318,053536
New Orleans,+9,Portland,20220318,053536
UNCW,pk,VMI,20220318,053536
Florida,+3,Xavier,20220318,053536
Youngstown State,+11,Wofford,20220318,053536
Northern Colorado,+5,Florida Atlantic,20220318,053536
Dayton,+2,Vanderbilt,20220318,053536
Washington State,+3,SMU,20220318,053536
Boston University,+2,UNC Greensboro,20220318,053536
Virginia,+2.5,North Texas,20220318,053536
Troy,+4.5,Abilene Christian,20220318,053536
Saint Bonaventure,+6.5,Oklahoma,20220318,053536
