Oakland, 20.5 ,Michigan State,20251220,140753
Montana, 30.5 ,Louisville,20251220,140753
South Dakota, 21.5 ,Kansas State,20251220,140753
St. John's, -2.5 ,Kentucky,20251220,140753
Liberty, 10.5 ,Dayton,20251220,140753
Buffalo, -1.5 ,Western Michigan,20251220,140753
Georgia State, 9.5 ,Appalachian State,20251220,140753
Siena Heights,NL,Detroit Mercy,20251220,140753
Robert Morris, -13.5 ,St. Francis (PA,20251220,140753
USC Upstate, 7.5 ,Youngstown State,20251220,140753
Le Moyne, 19.5 ,St. Bonaventure,20251220,140753
Chicago State, 36.5 ,Indiana,20251220,140753
Miami (OH, -10.5 ,Ball State,20251220,140753
Kent State, 1.5 ,UMass,20251220,140753
Coastal Carolina, 5.5 ,Old Dominion,20251220,140753
Colorado State, 8.5 ,Utah State,20251220,140753
Marshall, 4.5 ,Troy,20251220,140753
Elon, 14.5 ,Virginia Tech,20251220,140753
Harris-Stowe State,NL,Lindenwood,20251220,140753
Iona, 4.5 ,Vermont,20251220,140753
Longwood, -4.5 ,North Carolina Central,20251220,140753
Lafayette, 15.5 ,Georgia Tech,20251220,140753
Binghamton, 8.5 ,Mercyhurst,20251220,140753
Holy Cross, 9.5 ,Harvard,20251220,140753
Howard, 14.5 ,UNC Wilmington,20251220,140753
North Carolina, -4.5 ,Ohio State,20251220,140753
Central Michigan, 3.5 ,Northern Illinois,20251220,140753
Denver, 8.5 ,Northern Colorado,20251220,140753
Louisiana, -1.5 ,Louisiana-Monroe,20251220,140753
South Alabama, 1.5 ,Texas State,20251220,140753
Bowling Green, 1.5 ,Ohio,20251220,140753
Grand Canyon, 2.5 ,Wyoming,20251220,140753
Jacksonville State, 11.5 ,East Tennessee State,20251220,140753
Tennessee-Martin, 1.5 ,Tennessee Tech,20251220,140753
Memphis, 3.5 ,Mississippi State,20251220,140753
Northeastern, 14.5 ,Syracuse,20251220,140753
Northwestern, 2.5 ,Butler,20251220,140753
Arkansas State, -2.5 ,Southern Miss,20251220,140753
Morehead State, -1.5 ,Southern Indiana,20251220,140753
Southeast Missouri State, 1.5 ,Tennessee State,20251220,140753
Mercer, 7.5 ,Washington State,20251220,140753
James Madison, 2.5 ,Georgia Southern,20251220,140753
Loyola Chicago, 17.5 ,Santa Clara,20251220,140753
Florida Gulf Coast, 17.5 ,UCF,20251220,140753
LIU, 3.5 ,Florida International,20251220,140753
Houston, -4.5 ,Arkansas,20251220,140753
The Citadel, 20.5 ,Richmond,20251220,140753
Maryland, 15.5 ,Virginia,20251220,140753
Bucknell, 25.5 ,Iowa,20251220,140753
Auburn, 8.5 ,Purdue,20251220,140753
Fresno State, 7.5 ,UNLV,20251220,140753
Eastern Washington, 12.5 ,Utah,20251220,140753
Omaha, 4.5 ,Lamar,20251220,140753
Portland State, 3.5 ,Tulane,20251220,140753
UC Riverside, 13.5 ,St. Thomas,20251220,140753
Penn, 11.5 ,Rutgers,20251220,140753
Sacramento State, 12.5 ,California Baptist,20251220,140753
Stanford, 5.5 ,Colorado,20251220,140753
Texas Tech, 8.5 ,Duke,20251220,140753
Marquette, 7.5 ,Creighton,20251220,140753
Xavier, 4.5 ,Georgetown,20251220,140753
Utah Tech, 5.5 ,Weber State,20251220,140753
Rice, -1.5 ,Pepperdine,20251220,140753
San Jose State, 13.5 ,New Mexico,20251220,140753
Boise State, -3.5 ,Nevada,20251220,140753
San Diego State, 14.5 ,Arizona,20251220,140753
