Oklahoma State,+9.5,UConn,20221201,205417
Creighton,+7,Texas,20221201,205417
Robert Morris,+12.5,Wright State,20221201,205417
Oakland,+3.5,Cleveland State,20221201,205417
Cornell,+4.5,Delaware,20221201,205417
Presbyterian,+12.5,Wofford,20221201,205417
Detroit Mercy,+4,Purdue Fort Wayne,20221201,205417
Youngstown State,-1,Northern Kentucky,20221201,205417
Fairfield,-2,Manhattan,20221201,205417
North Carolina Central,+4.5,Radford,20221201,205417
Illinois State,+11,Murray State,20221201,205417
Milwaukee,-6,Green Bay,20221201,205417
Valparaiso,+9,Belmont,20221201,205417
Denver,-5,Houston Christian,20221201,205417
Mississippi Valley,+14.5,Arkansas State,20221201,205417
Chicago State,+3,Bethune-Cookman,20221201,205417
Arizona,-6.5,Utah,20221201,205417
Arizona State,+4.5,Colorado,20221201,205417
Texas State,-12.5,Lamar,20221201,205417
Pacific,+6.5,UC Davis,20221201,205417
Utah Tech,+18.5,Utah State,20221201,205417
Northwestern State,+12.5,SFA,20221201,205417
Washington,-5,Oregon State,20221201,205417
UCLA,-6,Stanford,20221201,205417
Washington State,+4,Oregon,20221201,205417
Pittsburgh,+8,North Carolina State,20221201,205417
Wake Forest,+3.5,Clemson,20221201,205417
Gonzaga,-2,Baylor,20221201,205417
Illinois,+2.5,Maryland,20221201,205417
