Florida, 3.5 ,Kentucky,20250104,140352
KEAN,NL,Princeton,20250104,140352
DePaul, 9.5 ,Villanova,20250104,140352
Hofstra, 2.5 ,Northeastern,20250104,140352
Toledo, -1.5 ,Western Michigan,20250104,140352
Georgia, 5 ,Ole Miss,20250104,140352
Boston College, 7.5 ,Georgia Tech,20250104,140352
North Carolina, -4.5 ,Notre Dame,20250104,140352
Dayton, -8.5 ,George Washington,20250104,140352
Richmond, 5 ,Massachusetts,20250104,140352
William & Mary, -5.5 ,Stony Brook,20250104,140352
North Carolina State, 6 ,Wake Forest,20250104,140352
Oklahoma State, 8.5 ,West Virginia,20250104,140352
Texas State, 2 ,Appalachian State,20250104,140352
Chattanooga, -12 ,Citadel,20250104,140352
Buffalo, 12 ,Miami (OH,20250104,140352
Green Bay, 13 ,Northern Kentucky,20250104,140352
Milwaukee, -8.5 ,Detroit,20250104,140352
Arkansas, 12 ,Tennessee,20250104,140352
Vermont, -10 ,New Hampshire,20250104,140352
Florida Gulf Coast, -3 ,Queens (NC,20250104,140352
Ball State, 11 ,Kent State,20250104,140352
Towson, 7.5 ,Charleston,20250104,140352
VCU, -5.5 ,Loyola Chicago,20250104,140352
Duquesne, 5.5 ,Davidson,20250104,140352
Western Kentucky, -6 ,FIU,20250104,140352
Tulsa, 13 ,UAB,20250104,140352
Omaha, 11.5 ,North Dakota State,20250104,140352
Louisiana-Monroe, 7 ,Coastal Carolina,20250104,140352
St. Thomas (MN, -5.5 ,North Dakota,20250104,140352
Northern Illinois, 7.5 ,Eastern Michigan,20250104,140352
UCLA, 2 ,Nebraska,20250104,140352
South Carolina, 10.5 ,Mississippi State,20250104,140352
BYU, 9.5 ,Houston,20250104,140352
Butler, 12 ,St. John's,20250104,140352
Baylor, 8.5 ,Iowa State,20250104,140352
St. Bonaventure, -6.5 ,Fordham,20250104,140352
Drexel, -4 ,North Carolina A&T,20250104,140352
George Mason, -1 ,Rhode Island,20250104,140352
Miami, -1 ,Virginia Tech,20250104,140352
Indiana State, -2.5 ,Evansville,20250104,140352
Charlotte, 3.5 ,Rice,20250104,140352
MEVERS,NL,NJIT,20250104,140352
Bellarmine, 4 ,Central Arkansas,20250104,140352
Lipscomb, -5.5 ,North Florida,20250104,140352
UMBC, -3 ,Binghamton,20250104,140352
Maine, 3.5 ,Bryant,20250104,140352
High Point, -2.5 ,UNC Asheville,20250104,140352
Stetson, 4.5 ,West Georgia,20250104,140352
Presbyterian, 3 ,Gardner-Webb,20250104,140352
Duke, -8 ,SMU,20250104,140352
Arizona, 3 ,Cincinnati,20250104,140352
South Alabama, -5.5 ,Georgia Southern,20250104,140352
Samford, -12.5 ,Western Carolina,20250104,140352
Robert Morris, 4.5 ,Oakland,20250104,140352
IU Indy, 10.5 ,Cleveland State,20250104,140352
Austin Peay, 5 ,Jacksonville,20250104,140352
Jackson State, -1.5 ,Alcorn State,20250104,140352
McNeese State, -16.5 ,East Texas A&M,20250104,140352
Monmouth, 5.5 ,Delaware,20250104,140352
Weber State, 2 ,Northern Arizona,20250104,140352
Southern Miss, 2 ,Old Dominion,20250104,140352
Louisiana Tech, -2 ,New Mexico State,20250104,140352
Morehead State, 2 ,Tennessee Tech,20250104,140352
Wofford, 4.5 ,East Tennessee State,20250104,140352
Kansas State, 3.5 ,TCU,20250104,140352
Northern Iowa, -4.5 ,Valparaiso,20250104,140352
Arkansas State, -1.5 ,James Madison,20250104,140352
Troy, -2 ,Marshall,20250104,140352
Portland State, -5.5 ,Sacramento State,20250104,140352
Missouri, 18 ,Auburn,20250104,140352
Idaho State, 7 ,Northern Colorado,20250104,140352
Furman, 1 ,UNCG,20250104,140352
Louisville, -5 ,Virginia,20250104,140352
San Diego State, 4.5 ,Boise State,20250104,140352
Abilene Christian, 8.5 ,Utah Valley,20250104,140352
Massachusetts-Lowell, -1.5 ,Albany,20250104,140352
Mississippi Valley State, 24 ,Alabama State,20250104,140352
South Carolina State, -4.5 ,Morgan State,20250104,140352
Maryland Eastern Shore, 17 ,Norfolk State,20250104,140352
Mercer, -5.5 ,VMI,20250104,140352
Little Rock, 1 ,Tennessee State,20250104,140352
Western Illinois, 3.5 ,Eastern Illinois,20250104,140352
Southeast Missouri State, 2 ,UT Martin,20250104,140352
Vanderbilt, -2 ,LSU,20250104,140352
Lindenwood, 7.5 ,SIUE,20250104,140352
Texas A&M-Corpus Christi, -1.5 ,Southeastern Louisiana,20250104,140352
North Carolina Central, -8 ,Coppin State,20250104,140352
Winthrop, -1 ,Radford,20250104,140352
Nicholls, -1.5 ,Northwestern State,20250104,140352
Wyoming, -3 ,Air Force,20250104,140352
Montana, -2 ,Idaho,20250104,140352
Montana State, -1.5 ,Eastern Washington,20250104,140352
Jacksonville State, 1 ,Kennesaw State,20250104,140352
UIC, 6 ,Belmont,20250104,140352
UAPB, 9 ,Alabama A&M,20250104,140352
Grambling State, -2 ,Prairie View A&M,20250104,140352
Eastern Kentucky, 5.5 ,North Alabama,20250104,140352
San Diego, 15.5 ,Oregon State,20250104,140352
San Jose State, 9.5 ,UNLV,20250104,140352
UTSA, 5.5 ,Tulane,20250104,140352
Colorado, 6 ,Arizona State,20250104,140352
Oklahoma, 12.5 ,Alabama,20250104,140352
Syracuse, 9 ,Florida State,20250104,140352
UC Davis, 9.5 ,CSUN,20250104,140352
Middle Tennessee, 7.5 ,Liberty,20250104,140352
Oral Roberts, 8.5 ,Kansas City,20250104,140352
Bethune-Cookman, -4.5 ,Florida A&M,20250104,140352
Incarnate Word, 4.5 ,Stephen F. Austin,20250104,140352
Texas-Rio Grande Valley, -7.5 ,New Orleans,20250104,140352
Southern, 1 ,Texas Southern,20250104,140352
Stanford, 9.5 ,Pittsburgh,20250104,140352
Ohio, -4.5 ,Central Michigan,20250104,140352
Pepperdine, -1.5 ,Pacific,20250104,140352
Louisiana-Lafayette, 1 ,Georgia State,20250104,140352
San Francisco, 2.5 ,Washington State,20250104,140352
Campbell, 11 ,UNCW,20250104,140352
Hampton, 8.5 ,Elon,20250104,140352
Youngstown State, 5.5 ,Purdue Fort Wayne,20250104,140352
Texas Tech, -2.5 ,Utah,20250104,140352
Houston Christian, 10.5 ,Lamar,20250104,140352
Charleston Southern, 9 ,Longwood,20250104,140352
Missouri State, 11.5 ,Bradley,20250104,140352
Denver, 9.5 ,South Dakota,20250104,140352
Michigan, -5 ,USC,20250104,140352
Texas, 6 ,Texas A&M,20250104,140352
Seattle, 4 ,California Baptist,20250104,140352
Southern Utah, 17 ,Grand Canyon,20250104,140352
UT Arlington, -5 ,Tarleton State,20250104,140352
Delaware State, 7 ,Howard,20250104,140352
California, 14.5 ,Clemson,20250104,140352
Fresno State, 22.5 ,Utah State,20250104,140352
Gonzaga, -15.5 ,Loyola Marymount,20250104,140352
Sam Houston, 5 ,UTEP,20250104,140352
California-San Diego, -12 ,Cal State Fullerton,20250104,140352
Long Beach State, 4.5 ,Bakersfield,20250104,140352
Saint Mary's, -18 ,Portland,20250104,140352
UC Riverside, 10.5 ,UC Irvine,20250104,140352
Cal Poly, 7.5 ,Hawaii,20250104,140352
Nevada,NL,New Mexico,20250104,140352
Akron,NL,Bowling Green,20250104,140352
