Wright State,-8,Milwaukee,20220211,161114
UConn,+1.5,Xavier,20220211,161114
Oakland,-6.5,Robert Morris,20220211,161114
Kent State,+3.5,Akron,20220211,161114
Rider,+7.5,Saint Peters,20220211,161114
Monmouth,-5.5,Manhattan,20220211,161114
Detroit Mercy,+1.5,Youngstown State,20220211,161114
Northern Kentucky,-7.5,Green Bay,20220211,161114
Nevada,+11,Utah State,20220211,161114
Saint Bonaventure,+5,Saint Louis,20220211,161114
Iona,-9,Siena,20220211,161114
Fresno State,+6,Colorado State,20220211,161114
UNLV,+9.5,Boise State,20220211,161114
