Navy, 1.5 ,Holy Cross,20250108,140724
Loyola Maryland, 3 ,Army,20250108,140724
DePaul, 3 ,Seton Hall,20250108,140724
Coastal Carolina, 8 ,Appalachian State,20250108,140724
Connecticut, 1 ,Villanova,20250108,140724
Northern Kentucky, 2 ,Youngstown State,20250108,140724
Loyola Chicago, -2 ,La Salle,20250108,140724
Richmond, 11.5 ,George Mason,20250108,140724
George Washington, 5.5 ,Rhode Island,20250108,140724
Florida Atlantic, -6 ,Charlotte,20250108,140724
Temple, 3 ,East Carolina,20250108,140724
Furman, -14.5 ,Citadel,20250108,140724
East Tennessee State, -2.5 ,Mercer,20250108,140724
Western Carolina, 14.5 ,Wofford,20250108,140724
USC, 7 ,Indiana,20250108,140724
Drake, 2.5 ,Bradley,20250108,140724
Murray State, 5.5 ,Northern Iowa,20250108,140724
Alabama, -10 ,South Carolina,20250108,140724
Ole Miss, 3.5 ,Arkansas,20250108,140724
Saint Joseph's, -2.5 ,Duquesne,20250108,140724
Fordham, 18.5 ,VCU,20250108,140724
Milwaukee, 3 ,Purdue Fort Wayne,20250108,140724
Cleveland State, 2 ,Robert Morris,20250108,140724
Florida State, 1.5 ,Miami,20250108,140724
Notre Dame, 2.5 ,North Carolina State,20250108,140724
Dayton, -10 ,Massachusetts,20250108,140724
Colorado, 5.5 ,UCF,20250108,140724
High Point, -9 ,Charleston Southern,20250108,140724
Presbyterian, -4.5 ,USC Upstate,20250108,140724
American, 2 ,Boston,20250108,140724
UNC Asheville, 4 ,Longwood,20250108,140724
Winthrop, -2 ,Gardner-Webb,20250108,140724
Lafayette, 4 ,Bucknell,20250108,140724
Lehigh, 5.5 ,Colgate,20250108,140724
Southern Illinois, 10.5 ,Belmont,20250108,140724
Indiana State, 2 ,Valparaiso,20250108,140724
St. Bonaventure, 2.5 ,Saint Louis,20250108,140724
Illinois State, -5.5 ,Evansville,20250108,140724
Georgia Southern, 3 ,Georgia State,20250108,140724
Butler, 2.5 ,Providence,20250108,140724
Rice, 11.5 ,North Texas,20250108,140724
Kansas City, -1.5 ,Omaha,20250108,140724
South Dakota State, 3.5 ,St. Thomas (MN,20250108,140724
San Diego, 31 ,Gonzaga,20250108,140724
Penn State, 10 ,Illinois,20250108,140724
Texas A&M, 2.5 ,Oklahoma,20250108,140724
Arizona State, 14.5 ,Kansas,20250108,140724
Virginia Tech, 8.5 ,Stanford,20250108,140724
Air Force, 21 ,San Diego State,20250108,140724
Virginia, 4.5 ,California,20250108,140724
St. John's,NL,Xavier,20250108,140724
