Tennessee, 2 ,Louisville,20241109,140203
Fordham, 10.5 ,Seton Hall,20241109,140203
PRATT,NL,LIU,20241109,140203
Little Rock, 10 ,Winthrop,20241109,140203
Wright State, 3.5 ,Miami (OH,20241109,140203
Sacred Heart, 4.5 ,Dartmouth,20241109,140203
MANORC,NL,Wagner,20241109,140203
Quinnipiac, 22.5 ,St. John's,20241109,140203
Toledo, 1 ,Marshall,20241109,140203
BRESC,NL,Evansville,20241109,140203
Rider, -9 ,Coppin State,20241109,140203
Colgate, 1 ,Drexel,20241109,140203
Delaware State, 11 ,Columbia,20241109,140203
Jackson State, 21 ,High Point,20241109,140203
HOUGH,NL,Mercyhurst,20241109,140203
Morgan State, 11.5 ,Longwood,20241109,140203
VMI, 10 ,Bellarmine,20241109,140203
UAPB, 19.5 ,Tulsa,20241109,140203
Omaha, 20 ,Minnesota,20241109,140203
Lafayette, 7 ,La Salle,20241109,140203
Old Dominion, 32 ,Arizona,20241109,140203
Cleveland State, 20.5 ,Kansas State,20241109,140203
Fairfield, 16.5 ,Georgetown,20241109,140203
St. Bonaventure, -8 ,Canisius,20241109,140203
Coastal Carolina, 11 ,East Carolina,20241109,140203
UTEP, 2 ,Utah Valley,20241109,140203
Charlotte, 13.5 ,Utah State,20241109,140203
PSUSK,NL,Maryland Eastern Shore,20241109,140203
Alcorn State,NL,XAVLA,20241109,140203
MISSW,NL,Nicholls,20241109,140203
Bucknell, 26.5 ,Kentucky,20241109,140203
Troy, -13 ,New Orleans,20241109,140203
Wofford, 4 ,Lipscomb,20241109,140203
Memphis, -2 ,UNLV,20241109,140203
Marist, 9.5 ,Richmond,20241109,140203
Louisiana Tech, -1 ,UT Arlington,20241109,140203
UC Santa Barbara, -7.5 ,Portland,20241109,140203
James Madison, -3.5 ,Norfolk State,20241109,140203
Stonehill, 23.5 ,Providence,20241109,140203
Montana State, 11.5 ,Wichita State,20241109,140203
Florida State, -10 ,Rice,20241109,140203
Middle Tennessee, 3.5 ,Abilene Christian,20241109,140203
ONEO,NL,Albany,20241109,140203
SPOLY,NL,Le Moyne,20241109,140203
UNC Asheville, 9.5 ,Ohio,20241109,140203
Vermont, -7.5 ,Merrimack College,20241109,140203
Northwestern, 4 ,Dayton,20241109,140203
Arkansas, 3 ,Baylor,20241109,140203
LBC,NL,Loyola Maryland,20241109,140203
Liberty, 1 ,Seattle,20241109,140203
Western Kentucky, 13 ,Grand Canyon,20241109,140203
Kennesaw State, 10 ,California Baptist,20241109,140203
Sam Houston, -5.5 ,Tarleton State,20241109,140203
BCRR,NL,Elon,20241109,140203
Bethune-Cookman, 25 ,Nebraska,20241109,140203
New Hampshire, 36.5 ,Connecticut,20241109,140203
Youngstown State, -5.5 ,Chicago State,20241109,140203
FIU, 6.5 ,Southern Utah,20241109,140203
New Mexico State, -5 ,Utah Tech,20241109,140203
Auburn, 5.5 ,Houston,20241109,140203
Washington, 7 ,Nevada,20241109,140203
Pepperdine, 9 ,California-San Diego,20241109,140203
Boise State, -2.5 ,San Francisco,20241109,140203
North Dakota, 8.5 ,UTSA,20241109,140203
