Mississippi State,-9.5,South Carolina,20230131,132436
Wake Forest,+8.5,Duke,20230131,132436
Clemson,-3.5,Boston College,20230131,132436
Virginia Tech,+4,Miami FL,20230131,132436
Nebraska,+14.5,Illinois,20230131,132436
Toledo,-10,Miami OH,20230131,132436
Marist,+12,Quinnipiac,20230131,132436
Central Michigan,+18,Kent State,20230131,132436
Texas A&M,+3.5,Arkansas,20230131,132436
Ohio,-8,Eastern Michigan,20230131,132436
Saint Louis,-5,Fordham,20230131,132436
VCU,-3,Davidson,20230131,132436
Akron,-2,Buffalo,20230131,132436
Northern Illinois,+4.5,Western Michigan,20230131,132436
Ball State,-1.5,Bowling Green,20230131,132436
Kansas State,+7,Kansas,20230131,132436
UConn,-10,DePaul,20230131,132436
Vanderbilt,+16,Alabama,20230131,132436
Kentucky,-7.5,Ole Miss,20230131,132436
Indiana,+2.5,Maryland,20230131,132436
Northwestern,+7,Iowa,20230131,132436
West Virginia,+2.5,TCU,20230131,132436
Loyola Chicago,+14.5,Dayton,20230131,132436
Boise State,-8.5,Air Force,20230131,132436
UNLV,+3,Colorado State,20230131,132436
Fresno State,+4,Wyoming,20230131,132436
San Diego State,-3.5,Nevada,20230131,132436
